氏族名,氏族英語名,標語,典型的な元人間像,氏族の詳細概要,内なる獣の衝動,氏族の呪い,狂乱の性質,取得可能な訓え一覧,訓え名,訓えの概要説明,ドット数,パワー名,系統・種別,発動タイプ,使用能力値,発動コスト,抵抗/難易度,射程/距離,持続時間,パワー概要,効果とルールの詳細 (日本語),成熟ルール (上位ドット時の強化),Rules_Description (英語原文),Maturing_Rules (英語原文)
ブルハ,Brujah,革命には情熱と力が必要だ。,政治扇動家、過激派活動家、コミュニティリーダー、ストリートギャングのリーダー、反骨の政治家,ブルハは、いかなる権威もただ権威であるという理由だけで従う価値はないと信じ、他者が疑問を持たずに受け入れている既存の社会秩序こそが打ち倒すべき対象であると考えています。ブルハであるということは、圧政や不正がどこに現れようともそれに抗い立ち向かうことを意味し、彼らにとって圧政は人間社会のみならず吸血鬼社会の至る所に存在します。彼らのサイア（親）は、既存の枠組みに屈服することを拒む人間を注意深く選び出し、抱擁（吸血鬼化）します。反抗精神と情熱を秘めた闘士たちの一族です。,反逆的 (Anti-Authority): 内なる獣は権威への挑戦と縛られたルールの破壊を要求します。指導者に異を唱え、命令に背き、権力の象徴を打ち砕くことで獣の衝動を満たします。,煮え立つ情熱 (Boiling Passion): 血が激しい情熱で煮えたぎっています。感情が常に表面で激しく波立ち、狂乱に対する抵抗の難易度が［世代修正値］分上昇します。,反逆 (Rebellion): 狂乱時、その場にいる権威者や支配的な存在に対して反逆行動を起こします。命令を拒絶し、暴動や妨害を行い、それ以外のすべての行動に［世代修正値］分のダイスペナルティを受けます。,迅速（Celerity）、怪力（Potence）、威厳（Presence）の3つの訓えを標準で習得可能です。,セレリティ (迅速・疾駆),超人的な反射速度、瞬発力、時間感覚の加速を可能にする神速の訓え。目にも留まらぬ速度で移動し、攻撃を回避し、複数回の手番を行う。,1,猫の身のこなし (Cat's Grace),1-dot Physical Celerity,アクション (Action),肉体: 敏捷力 (Dexterity),なし (None),なし (None),術者自身 (Self),1ターン (One turn),驚異的な平衡感覚を得て、細い足場や不安定な瓦礫の上を疾走する。,超自然的なバランス感覚を発揮し、ワイヤーの上、狭い突起、崩れやすい足場の上を一切転落することなく高速で走り抜ける。,"•••: 短時間であれば垂直な壁面を駆け上がることができる。
•••••: 水面や液体の表面を沈まずに駆け抜けることができる。","Move with supernatural balance, running across wires, narrow ledges, or unstable debris without falling.","•••: Can run across vertical walls for short bursts.
•••••: Can run across liquids."
ブルハ,Brujah,革命には情熱と力が必要だ。,政治扇動家、過激派活動家、コミュニティリーダー、ストリートギャングのリーダー、反骨の政治家,ブルハは、いかなる権威もただ権威であるという理由だけで従う価値はないと信じ、他者が疑問を持たずに受け入れている既存の社会秩序こそが打ち倒すべき対象であると考えています。ブルハであるということは、圧政や不正がどこに現れようともそれに抗い立ち向かうことを意味し、彼らにとって圧政は人間社会のみならず吸血鬼社会の至る所に存在します。彼らのサイア（親）は、既存の枠組みに屈服することを拒む人間を注意深く選び出し、抱擁（吸血鬼化）します。反抗精神と情熱を秘めた闘士たちの一族です。,反逆的 (Anti-Authority): 内なる獣は権威への挑戦と縛られたルールの破壊を要求します。指導者に異を唱え、命令に背き、権力の象徴を打ち砕くことで獣の衝動を満たします。,煮え立つ情熱 (Boiling Passion): 血が激しい情熱で煮えたぎっています。感情が常に表面で激しく波立ち、狂乱に対する抵抗の難易度が［世代修正値］分上昇します。,反逆 (Rebellion): 狂乱時、その場にいる権威者や支配的な存在に対して反逆行動を起こします。命令を拒絶し、暴動や妨害を行い、それ以外のすべての行動に［世代修正値］分のダイスペナルティを受けます。,迅速（Celerity）、怪力（Potence）、威厳（Presence）の3つの訓えを標準で習得可能です。,セレリティ (迅速・疾駆),超人的な反射速度、瞬発力、時間感覚の加速を可能にする神速の訓え。目にも留まらぬ速度で移動し、攻撃を回避し、複数回の手番を行う。,1,敏捷なる反射 (Rapid Reflexes),1-dot Physical Celerity,リアクション (Reaction),肉体: 敏捷力 (Dexterity),1ヴィータイ (1 Vitae),なし (None),術者自身 (Self),1ターン (One turn),神速の反射神経で身を躱し、あらゆる攻撃の防御テストを強化する。,超人的な反射速度で迫り来る攻撃を回避する。あらゆる物理攻撃に対する自身の防御プールに［セレリティのドット数］を加える。,"•••: 遮蔽物のない状態でも銃弾を回避することができる。
•••••: 回避した銃弾や投擲物の弾道を逸らして別の方向へ弾くことができる。",Dodge incoming attacks with preternatural speed. Add dots in Celerity to your defense pools against physical attacks.,"•••: Can dodge bullets without cover.
•••••: Can redirect missed projectile attacks."
ブルハ,Brujah,革命には情熱と力が必要だ。,政治扇動家、過激派活動家、コミュニティリーダー、ストリートギャングのリーダー、反骨の政治家,ブルハは、いかなる権威もただ権威であるという理由だけで従う価値はないと信じ、他者が疑問を持たずに受け入れている既存の社会秩序こそが打ち倒すべき対象であると考えています。ブルハであるということは、圧政や不正がどこに現れようともそれに抗い立ち向かうことを意味し、彼らにとって圧政は人間社会のみならず吸血鬼社会の至る所に存在します。彼らのサイア（親）は、既存の枠組みに屈服することを拒む人間を注意深く選び出し、抱擁（吸血鬼化）します。反抗精神と情熱を秘めた闘士たちの一族です。,反逆的 (Anti-Authority): 内なる獣は権威への挑戦と縛られたルールの破壊を要求します。指導者に異を唱え、命令に背き、権力の象徴を打ち砕くことで獣の衝動を満たします。,煮え立つ情熱 (Boiling Passion): 血が激しい情熱で煮えたぎっています。感情が常に表面で激しく波立ち、狂乱に対する抵抗の難易度が［世代修正値］分上昇します。,反逆 (Rebellion): 狂乱時、その場にいる権威者や支配的な存在に対して反逆行動を起こします。命令を拒絶し、暴動や妨害を行い、それ以外のすべての行動に［世代修正値］分のダイスペナルティを受けます。,迅速（Celerity）、怪力（Potence）、威厳（Presence）の3つの訓えを標準で習得可能です。,セレリティ (迅速・疾駆),超人的な反射速度、瞬発力、時間感覚の加速を可能にする神速の訓え。目にも留まらぬ速度で移動し、攻撃を回避し、複数回の手番を行う。,1,震動の手 (Vibrating Hands),1-dot Physical Celerity,アクション (Action),肉体: 敏捷力 (Dexterity),1ヴィータイ (1 Vitae),なし (None),接触 (Touch),即時 (Instant),手を高速振動させ、触れるだけで鍵や固形物を瞬時に粉砕する。,両手を極超音速で振動させ、触れた鍵を破壊し、窓ガラスを粉砕し、コンクリートに亀裂を入れる。,"•••: 強化鋼鉄製の特殊錠前をも粉砕できる。
•••••: 装甲化されたエンジンブロックすらも粉々に破壊できる。","Vibrate your hands at hyperspeed to shatter locks, shatter glass, or crack concrete with a single touch.","•••: Destroys reinforced steel locks.
•••••: Can shatter armored engine blocks."
ブルハ,Brujah,革命には情熱と力が必要だ。,政治扇動家、過激派活動家、コミュニティリーダー、ストリートギャングのリーダー、反骨の政治家,ブルハは、いかなる権威もただ権威であるという理由だけで従う価値はないと信じ、他者が疑問を持たずに受け入れている既存の社会秩序こそが打ち倒すべき対象であると考えています。ブルハであるということは、圧政や不正がどこに現れようともそれに抗い立ち向かうことを意味し、彼らにとって圧政は人間社会のみならず吸血鬼社会の至る所に存在します。彼らのサイア（親）は、既存の枠組みに屈服することを拒む人間を注意深く選び出し、抱擁（吸血鬼化）します。反抗精神と情熱を秘めた闘士たちの一族です。,反逆的 (Anti-Authority): 内なる獣は権威への挑戦と縛られたルールの破壊を要求します。指導者に異を唱え、命令に背き、権力の象徴を打ち砕くことで獣の衝動を満たします。,煮え立つ情熱 (Boiling Passion): 血が激しい情熱で煮えたぎっています。感情が常に表面で激しく波立ち、狂乱に対する抵抗の難易度が［世代修正値］分上昇します。,反逆 (Rebellion): 狂乱時、その場にいる権威者や支配的な存在に対して反逆行動を起こします。命令を拒絶し、暴動や妨害を行い、それ以外のすべての行動に［世代修正値］分のダイスペナルティを受けます。,迅速（Celerity）、怪力（Potence）、威厳（Presence）の3つの訓えを標準で習得可能です。,セレリティ (迅速・疾駆),超人的な反射速度、瞬発力、時間感覚の加速を可能にする神速の訓え。目にも留まらぬ速度で移動し、攻撃を回避し、複数回の手番を行う。,2,瞬動 (Blink),2-dot Physical Celerity,アクション (Action),肉体: 敏捷力 (Dexterity),1ヴィータイ (1 Vitae),なし (None),術者自身 (Self),即時 (Instant),目にも留まらぬ速度で移動し、中距離を一瞬で駆け抜ける。,瞬きの間に中距離（Medium）までの距離を疾走する。目撃者からは、術者がその場から消え去り、一瞬で目的地に現れたように見える。,"•••: 長距離（Long）までの距離を一瞬で移動できるようになる。
•••••: 移動時に同行者1人を抱えて共にブリンク移動できる。",Move up to Medium distance in the blink of an eye. Observers see you vanish and reappear instantly.,"•••: Move up to Long distance.
•••••: Can carry a passenger while blinking."
ブルハ,Brujah,革命には情熱と力が必要だ。,政治扇動家、過激派活動家、コミュニティリーダー、ストリートギャングのリーダー、反骨の政治家,ブルハは、いかなる権威もただ権威であるという理由だけで従う価値はないと信じ、他者が疑問を持たずに受け入れている既存の社会秩序こそが打ち倒すべき対象であると考えています。ブルハであるということは、圧政や不正がどこに現れようともそれに抗い立ち向かうことを意味し、彼らにとって圧政は人間社会のみならず吸血鬼社会の至る所に存在します。彼らのサイア（親）は、既存の枠組みに屈服することを拒む人間を注意深く選び出し、抱擁（吸血鬼化）します。反抗精神と情熱を秘めた闘士たちの一族です。,反逆的 (Anti-Authority): 内なる獣は権威への挑戦と縛られたルールの破壊を要求します。指導者に異を唱え、命令に背き、権力の象徴を打ち砕くことで獣の衝動を満たします。,煮え立つ情熱 (Boiling Passion): 血が激しい情熱で煮えたぎっています。感情が常に表面で激しく波立ち、狂乱に対する抵抗の難易度が［世代修正値］分上昇します。,反逆 (Rebellion): 狂乱時、その場にいる権威者や支配的な存在に対して反逆行動を起こします。命令を拒絶し、暴動や妨害を行い、それ以外のすべての行動に［世代修正値］分のダイスペナルティを受けます。,迅速（Celerity）、怪力（Potence）、威厳（Presence）の3つの訓えを標準で習得可能です。,セレリティ (迅速・疾駆),超人的な反射速度、瞬発力、時間感覚の加速を可能にする神速の訓え。目にも留まらぬ速度で移動し、攻撃を回避し、複数回の手番を行う。,2,神速の作業 (Rush Job),2-dot Mental Celerity,アクション (Action),精神: 機知 (Wits),1ヴィータイ (1 Vitae),なし (None),術者自身 (Self),即時 (Instant),複雑な手作業（ピッキング、武器組立、捜索等）を数秒で完了する。,ピッキング、銃器の分解組立、部屋の捜索など、本来なら数分から数十分を要する精密な物理作業を、わずか数秒で完璧に完了させる。,"•••: 数時間かかる膨大な作業をわずか1分で完了させることができる。
•••••: 暗号化された複雑な文書を一瞬で解読・筆写できる。","Complete complex manual tasks (picking locks, assembling weapons, searching a room) in mere seconds rather than minutes.","•••: Complete hours of work in one minute.
•••••: Decipher encrypted text in moments."
ブルハ,Brujah,革命には情熱と力が必要だ。,政治扇動家、過激派活動家、コミュニティリーダー、ストリートギャングのリーダー、反骨の政治家,ブルハは、いかなる権威もただ権威であるという理由だけで従う価値はないと信じ、他者が疑問を持たずに受け入れている既存の社会秩序こそが打ち倒すべき対象であると考えています。ブルハであるということは、圧政や不正がどこに現れようともそれに抗い立ち向かうことを意味し、彼らにとって圧政は人間社会のみならず吸血鬼社会の至る所に存在します。彼らのサイア（親）は、既存の枠組みに屈服することを拒む人間を注意深く選び出し、抱擁（吸血鬼化）します。反抗精神と情熱を秘めた闘士たちの一族です。,反逆的 (Anti-Authority): 内なる獣は権威への挑戦と縛られたルールの破壊を要求します。指導者に異を唱え、命令に背き、権力の象徴を打ち砕くことで獣の衝動を満たします。,煮え立つ情熱 (Boiling Passion): 血が激しい情熱で煮えたぎっています。感情が常に表面で激しく波立ち、狂乱に対する抵抗の難易度が［世代修正値］分上昇します。,反逆 (Rebellion): 狂乱時、その場にいる権威者や支配的な存在に対して反逆行動を起こします。命令を拒絶し、暴動や妨害を行い、それ以外のすべての行動に［世代修正値］分のダイスペナルティを受けます。,迅速（Celerity）、怪力（Potence）、威厳（Presence）の3つの訓えを標準で習得可能です。,セレリティ (迅速・疾駆),超人的な反射速度、瞬発力、時間感覚の加速を可能にする神速の訓え。目にも留まらぬ速度で移動し、攻撃を回避し、複数回の手番を行う。,2,優雅なる身のこなし (Willful Grace),2-dot Physical Celerity,アクション (Action),肉体: 敏捷力 (Dexterity),意志力1点 (1 Willpower),なし (None),術者自身 (Self),1シーン (One scene),軽業・平衡感覚のテストで自動成功を得て、滑らかに移動する。,アクロバット、敏捷性、平衡感覚に関するテストで自動成功を獲得し、あらゆる悪路や危険な地形を一切の滞りなく優雅に滑走する。,"•••: 転倒（足払い）や組み付き攻撃に対して完全な耐性を得る。
•••••: 莫大な距離を羽毛のように軽々と跳躍できる。","Gain automatic successes on acrobatics, agility, and balance tests, gliding effortlessly through hazardous terrain.","•••: Immune to being tripped or grappled.
•••••: Can leap enormous distances effortlessly."
ブルハ,Brujah,革命には情熱と力が必要だ。,政治扇動家、過激派活動家、コミュニティリーダー、ストリートギャングのリーダー、反骨の政治家,ブルハは、いかなる権威もただ権威であるという理由だけで従う価値はないと信じ、他者が疑問を持たずに受け入れている既存の社会秩序こそが打ち倒すべき対象であると考えています。ブルハであるということは、圧政や不正がどこに現れようともそれに抗い立ち向かうことを意味し、彼らにとって圧政は人間社会のみならず吸血鬼社会の至る所に存在します。彼らのサイア（親）は、既存の枠組みに屈服することを拒む人間を注意深く選び出し、抱擁（吸血鬼化）します。反抗精神と情熱を秘めた闘士たちの一族です。,反逆的 (Anti-Authority): 内なる獣は権威への挑戦と縛られたルールの破壊を要求します。指導者に異を唱え、命令に背き、権力の象徴を打ち砕くことで獣の衝動を満たします。,煮え立つ情熱 (Boiling Passion): 血が激しい情熱で煮えたぎっています。感情が常に表面で激しく波立ち、狂乱に対する抵抗の難易度が［世代修正値］分上昇します。,反逆 (Rebellion): 狂乱時、その場にいる権威者や支配的な存在に対して反逆行動を起こします。命令を拒絶し、暴動や妨害を行い、それ以外のすべての行動に［世代修正値］分のダイスペナルティを受けます。,迅速（Celerity）、怪力（Potence）、威厳（Presence）の3つの訓えを標準で習得可能です。,セレリティ (迅速・疾駆),超人的な反射速度、瞬発力、時間感覚の加速を可能にする神速の訓え。目にも留まらぬ速度で移動し、攻撃を回避し、複数回の手番を行う。,3,残像の突破 (Blurred Passage),3-dot Physical Celerity,アクション (Action),肉体: 敏捷力 (Dexterity),2ヴィータイ (2 Vitae),なし (None),術者自身 (Self),即時 (Instant),分子レベルで肉体を高速振動させ、壁や扉をすり抜ける。,肉体の分子振動を極限まで加速させることで、固体の壁や強固な扉を傷つけることなくそのまま通り抜ける。,•••••: 銀行の金庫扉のような軍事規格の強化装甲壁をもすり抜けられる。,Vibrate your molecules so fast that you phase through a solid wall or door without damage.,•••••: Can phase through bank-grade reinforced barriers.
ブルハ,Brujah,革命には情熱と力が必要だ。,政治扇動家、過激派活動家、コミュニティリーダー、ストリートギャングのリーダー、反骨の政治家,ブルハは、いかなる権威もただ権威であるという理由だけで従う価値はないと信じ、他者が疑問を持たずに受け入れている既存の社会秩序こそが打ち倒すべき対象であると考えています。ブルハであるということは、圧政や不正がどこに現れようともそれに抗い立ち向かうことを意味し、彼らにとって圧政は人間社会のみならず吸血鬼社会の至る所に存在します。彼らのサイア（親）は、既存の枠組みに屈服することを拒む人間を注意深く選び出し、抱擁（吸血鬼化）します。反抗精神と情熱を秘めた闘士たちの一族です。,反逆的 (Anti-Authority): 内なる獣は権威への挑戦と縛られたルールの破壊を要求します。指導者に異を唱え、命令に背き、権力の象徴を打ち砕くことで獣の衝動を満たします。,煮え立つ情熱 (Boiling Passion): 血が激しい情熱で煮えたぎっています。感情が常に表面で激しく波立ち、狂乱に対する抵抗の難易度が［世代修正値］分上昇します。,反逆 (Rebellion): 狂乱時、その場にいる権威者や支配的な存在に対して反逆行動を起こします。命令を拒絶し、暴動や妨害を行い、それ以外のすべての行動に［世代修正値］分のダイスペナルティを受けます。,迅速（Celerity）、怪力（Potence）、威厳（Presence）の3つの訓えを標準で習得可能です。,セレリティ (迅速・疾駆),超人的な反射速度、瞬発力、時間感覚の加速を可能にする神速の訓え。目にも留まらぬ速度で移動し、攻撃を回避し、複数回の手番を行う。,3,闘士の捷速 (Fighter's Alacrity),3-dot Physical Celerity,アクション (Action),肉体: 敏捷力 (Dexterity),2ヴィータイ (2 Vitae),なし (None),術者自身 (Self),1ターン (One turn),1戦闘ラウンド中に2回分の完全な手番を行い、連続行動する。,他者が反応する隙を与えず、1つの戦闘ラウンド中に完全な2回の手番（移動およびアクション）を実行する。,•••••: 1戦闘ラウンド中に3回分の完全な手番を実行可能になる。,"Take two full turns in a single combat round, moving and attacking before others can react.",•••••: Take three full turns in a combat round.
ブルハ,Brujah,革命には情熱と力が必要だ。,政治扇動家、過激派活動家、コミュニティリーダー、ストリートギャングのリーダー、反骨の政治家,ブルハは、いかなる権威もただ権威であるという理由だけで従う価値はないと信じ、他者が疑問を持たずに受け入れている既存の社会秩序こそが打ち倒すべき対象であると考えています。ブルハであるということは、圧政や不正がどこに現れようともそれに抗い立ち向かうことを意味し、彼らにとって圧政は人間社会のみならず吸血鬼社会の至る所に存在します。彼らのサイア（親）は、既存の枠組みに屈服することを拒む人間を注意深く選び出し、抱擁（吸血鬼化）します。反抗精神と情熱を秘めた闘士たちの一族です。,反逆的 (Anti-Authority): 内なる獣は権威への挑戦と縛られたルールの破壊を要求します。指導者に異を唱え、命令に背き、権力の象徴を打ち砕くことで獣の衝動を満たします。,煮え立つ情熱 (Boiling Passion): 血が激しい情熱で煮えたぎっています。感情が常に表面で激しく波立ち、狂乱に対する抵抗の難易度が［世代修正値］分上昇します。,反逆 (Rebellion): 狂乱時、その場にいる権威者や支配的な存在に対して反逆行動を起こします。命令を拒絶し、暴動や妨害を行い、それ以外のすべての行動に［世代修正値］分のダイスペナルティを受けます。,迅速（Celerity）、怪力（Potence）、威厳（Presence）の3つの訓えを標準で習得可能です。,ポウテンス (怪力・剛力),物理法則を無視した超人的筋力を発揮し、あらゆる障害物を粉砕し、垂直の壁を登り、壊滅的な打撃を叩き込む剛力の訓え。,1,猛進撃 (Bull Rush),1-dot Physical Potence,アクション (Action),肉体: 筋力 (Strength),1ヴィータイ (1 Vitae),なし (None),術者自身 (Self),即時 (Instant),圧倒的な力で突進し、進路上の敵を吹き飛ばして床に叩きつける。,超自然的な推進力で前方へ猛突進し、接触した敵を後方へと吹き飛ばして床に叩きつける。,"•••: レンガやコンクリートの壁を突き破って突進できる。
•••••: 走行中の車両をも体当たりで横転・吹き飛ばす。","Charge forward with supernatural force, sending opponents flying backward and crashing to the floor.","•••: Smashes through brick walls.
•••••: Knocks down vehicles."
ブルハ,Brujah,革命には情熱と力が必要だ。,政治扇動家、過激派活動家、コミュニティリーダー、ストリートギャングのリーダー、反骨の政治家,ブルハは、いかなる権威もただ権威であるという理由だけで従う価値はないと信じ、他者が疑問を持たずに受け入れている既存の社会秩序こそが打ち倒すべき対象であると考えています。ブルハであるということは、圧政や不正がどこに現れようともそれに抗い立ち向かうことを意味し、彼らにとって圧政は人間社会のみならず吸血鬼社会の至る所に存在します。彼らのサイア（親）は、既存の枠組みに屈服することを拒む人間を注意深く選び出し、抱擁（吸血鬼化）します。反抗精神と情熱を秘めた闘士たちの一族です。,反逆的 (Anti-Authority): 内なる獣は権威への挑戦と縛られたルールの破壊を要求します。指導者に異を唱え、命令に背き、権力の象徴を打ち砕くことで獣の衝動を満たします。,煮え立つ情熱 (Boiling Passion): 血が激しい情熱で煮えたぎっています。感情が常に表面で激しく波立ち、狂乱に対する抵抗の難易度が［世代修正値］分上昇します。,反逆 (Rebellion): 狂乱時、その場にいる権威者や支配的な存在に対して反逆行動を起こします。命令を拒絶し、暴動や妨害を行い、それ以外のすべての行動に［世代修正値］分のダイスペナルティを受けます。,迅速（Celerity）、怪力（Potence）、威厳（Presence）の3つの訓えを標準で習得可能です。,ポウテンス (怪力・剛力),物理法則を無視した超人的筋力を発揮し、あらゆる障害物を粉砕し、垂直の壁を登り、壊滅的な打撃を叩き込む剛力の訓え。,1,怪力の爪痕 (Imprint),1-dot Physical Potence,アクション (Action),肉体: 筋力 (Strength),なし (None),なし (None),術者自身 (Self),1シーン (One scene),指先を石や鋼鉄に食い込ませ、壁や天井を蜘蛛のように登攀する。,指先や足先を超人的な力で石材、レンガ、鋼鉄に食い込ませて足場を作り、垂直の壁面を蜘蛛のように登り降りする。,"•••: 天井に逆さにぶら下がりながら移動できるようになる。
•••••: コンクリートの塊を素手で引き剥がして投擲武器として使用できる。","Dig fingers and boots into stone, brick, or steel, climbing sheer walls like a spider.","•••: Climb upside down across ceilings.
•••••: Tear off chunks of concrete to throw."
