氏族名,氏族英語名,標語,典型的な元人間像,氏族の詳細概要,内なる獣の衝動,氏族の呪い,狂乱の性質,取得可能な訓え一覧,訓え名,訓えの概要説明,ドット数,パワー名,系統・種別,発動タイプ,使用能力値,発動コスト,抵抗/難易度,射程/距離,持続時間,パワー概要,効果とルールの詳細 (日本語),成熟ルール (上位ドット時の強化),Rules_Description (英語原文),Maturing_Rules (英語原文)
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,1,記憶の霧散 (Cloud Memory),1-dot Mental Dominate,アクション (Action),社会: 操作力 (Manipulation),なし (None),対象の決意 (Target's Resolve),アイコンタクト/目を合わせた状態 (Eye contact),永続 (Permanent),直前数分間の記憶を消去するか、無害な記憶に改ざんする。,視線を合わせた対象の過去数分間の記憶を完全に消し去るか、都合の良い曖昧で無害な記憶へとすり替える。,なし,"Erase the last few minutes of a target's memory or replace them with a vague, harmless recollection.",None
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,1,一言の命令 (Command),1-dot Mental Dominate,アクション (Action),社会: カリスマ (Charisma),なし (None),対象の決意 (Target's Resolve),アイコンタクト/目を合わせた状態 (Eye contact),1ターン (One turn),「止まれ」「落とせ」等の一言の命令で対象を即座に従わせる。,視線を固定し、1語の簡潔な命令（「止まれ」「走れ」「落とせ」「眠れ」など）を下す。対象はその手番ですぐに命令に従わなければならない。,なし,"Lock eyes and issue a one-word command ('Halt', 'Drop', 'Run', 'Sleep') that the target must obey immediately.",None
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,1,催眠の命令 (Mesmerize),1-dot Mental Dominate,アクション (Action),社会: 操作力 (Manipulation),意志力1点 (1 Willpower),対象の決意 (Target's Resolve),アイコンタクト/目を合わせた状態 (Eye contact),命令完遂まで (Until completed),複雑な一連の指示を刷り込み、命令されたことすら忘れて実行させる。,対象の深層心理に詳細な命令を埋め込む。対象は術者から命じられた事実を忘れ、自発的な行動と信じ込んで命令を忠実に完遂する。,"•••: 特定の条件で発動するポスト催眠トリガーを埋め込める。
•••••: 数日後に発動する複雑な時限命令をも実行させられる。","Implant detailed instructions that the target will carry out faithfully, forgetting that you ordered them to do so.","•••: Can implant post-hypnotic triggers.
•••••: Subject obeys commands days later."
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,2,狂気の誘発 (Dementation),2-dot Mental Dominate,アクション (Action),社会: 操作力 (Manipulation),1ヴィータイ (1 Vitae),対象の平静 (Target's Composure),アイコンタクト/目を合わせた状態 (Eye contact),1シーン (One scene),一時的な狂気、妄想、感覚の錯乱を引き起こして錯乱させる。,対象の精神の安定を打ち砕き、偏執病（パラノイア）、激しいヒステリー、あるいは知覚の幻覚を引き起こして発狂させる。,"•••: 対象が錯乱し、最も近くにいる人物に無差別攻撃を仕掛ける。
•••••: 対象の狂気が恒久的な精神障害となる。","Drive a target temporarily insane, triggering paranoia, hysteria, or sensory hallucinations.","•••: Target attacks nearest individual.
•••••: Insanity becomes permanent."
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,2,潜伏命令 (Submerged Directive),2-dot Mental Dominate,アクション (Action),社会: 操作力 (Manipulation),意志力1点 (1 Willpower),対象の決意 (Target's Resolve),アイコンタクト/目を合わせた状態 (Eye contact),無期限/トリガー起動まで (Indefinite),特定の合図や状況に反応して起動する潜伏命令を植え付ける。,対象の潜在意識にスリーパー指令を埋め込む。特定の感覚的引き金（特定の単語を聞く、特定の鐘の音など）を感知した際に初めて命令が自動起動する。,"•••: 1人の対象に最大3つの異なるトリガー命令を埋め込める。
•••••: トリガー起動時、対象は主君への裏切りや重大犯罪をもためらわず実行する。",Plant a command that activates only when a specific sensory trigger occurs (e.g. hearing a phrase or chime).,"•••: Can implant up to 3 triggers.
•••••: Target will commit treason when triggered."
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,2,忘却の精神 (The Forgetful Mind),2-dot Mental Dominate,アクション (Action),社会: 操作力 (Manipulation),1ヴィータイ (1 Vitae),対象の決意 (Target's Resolve),アイコンタクト/目を合わせた状態 (Eye contact),永続 (Permanent),数年間にわたる人生の記憶、人間関係、体験を深く書き換える。,対象の記憶の構造に深く入り込み、数年分に及ぶ重要な出来事、愛情や忠誠の対象、誓いなどの記憶を自在に再構築・書き換える。,なし,"Enter the target's mind and systematically rewrite significant memories, relationships, and events.",None
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,3,肉体の憑依 (Possession),3-dot Mental Dominate,アクション (Action),社会: カリスマ (Charisma),2ヴィータイ (2 Vitae),対象の決意 (Target's Resolve),アイコンタクト/目を合わせた状態 (Eye contact),1夜 (One night),人間の肉体に意識を憑依させ、人形のように遠隔操作する。,自身の肉体をトランス状態にして休眠させ、人間の肉体に意識を投影して完全にその肉体を支配・行動させる。,•••••: 人間だけでなく、他の吸血鬼の肉体に憑依することが可能となる。,"Project your consciousness into a mortal's body, controlling their actions while your vampire body lies inert.",•••••: Can possess another vampire.
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,3,自己正当化 (Rationalize),3-dot Mental Dominate,アクション (Action),社会: 操作力 (Manipulation),1ヴィータイ (1 Vitae),対象の決意 (Target's Resolve),近距離 (Near),永続 (Permanent),支配下で行わせた全行動を、対象自身の妙案だったと信じ込ませる。,術者のドミネイトによって実行させられたあらゆる行動について、被害者が「すべて自分自身の自発的かつ素晴らしいアイデアだった」と心から納得・正当化するように固定する。,•••••: 対象が裁判や審問の場でも自らの行動を熱狂的に擁護するようになる。,Ensure the victim genuinely believes all actions taken under your Dominate were their own brilliant ideas.,•••••: Target vigorously defends actions in court.
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,フォーティチュード (堅牢・不屈),肉体を岩石や防弾板のように硬化させ、痛みや傷を瞬時に克服し、日光や致死ダメージにすら耐え抜く不死の耐久力の訓え。,1,不死者の忍耐 (Endurance of the Grave),1-dot Physical Fortitude,アクション (Action),肉体: 持久力 (Stamina),なし (None),なし (None),術者自身 (Self),1シーン (One scene),肉体の痛みを完全に無視し、負傷による全ペナルティを無効化する。,死せる肉体ゆえに肉体的苦痛を感じなくなる。負傷や肉体ダメージによって発生するすべてのダイスペナルティを完全に無視する。,なし,Your dead flesh feels no pain. Ignore all dice penalties resulting from physical damage and wounds.,None
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,フォーティチュード (堅牢・不屈),肉体を岩石や防弾板のように硬化させ、痛みや傷を瞬時に克服し、日光や致死ダメージにすら耐え抜く不死の耐久力の訓え。,1,強靭なる血の治癒 (Resilient Blood),1-dot Physical Fortitude,リアクション (Reaction),肉体: 持久力 (Stamina),1ヴィータイ (1 Vitae),なし (None),術者自身 (Self),即時 (Instant),骨折や深い傷口を瞬時に修復し、肉体を急速再生する。,折れた骨を繋ぎ合わせ、引き裂かれた傷口を瞬時に塞ぎ、物理攻撃によって失われた耐久力を超自然の血で即座に回復する。,"•••: 破滅的（Aggravated）ダメージすらも即座に修復可能となる。
•••••: 切断された指や抉られた眼球をも一瞬で再生させる。","Mend broken bones and close gaping wounds instantly, recovering Vitae lost to physical attacks.","•••: Mend aggravated damage.
•••••: Regrow severed digits or eyes instantly."
