氏族名,氏族英語名,標語,典型的な元人間像,氏族の詳細概要,内なる獣の衝動,氏族の呪い,狂乱の性質,取得可能な訓え一覧,訓え名,訓えの概要説明,ドット数,パワー名,系統・種別,発動タイプ,使用能力値,発動コスト,抵抗/難易度,射程/距離,持続時間,パワー概要,効果とルールの詳細 (日本語),成熟ルール (上位ドット時の強化),Rules_Description (英語原文),Maturing_Rules (英語原文)
ミニストリー,The Ministry,真に自由になるためには、己自身に屈服せよ。,カルト指導者、快楽主義のアーティスト、違法薬物の元締め、過激派セラピスト、裏社会の銀行家,かつて「セトの信徒」として恐れられたミニストリーは、道徳律や法、宗教的戒律はすべて魂を束縛する鎖にすぎないと説きます。真の精神的解放を得るには、あらゆる禁忌を犯し、欲望の限界を試し、己を縛るすべての偽善を粉砕しなければならないと考えます。彼らは誘惑者であり霊的導き手として、人々が最も渇望するものを提供し、快楽と負債の網へと絡め取っていきます。,誘惑者 (Tempting Beast): 他者を堕落させ、禁忌を打ち破ることを切望します。他人に悪徳を犯させ、誓いを破らせ、偽善を暴き立てることで獣を満たします。,陽光の禍 (Sunlight Bane): 日光に対する脆弱性が他氏族より遥かに深刻です。日光に晒された際に［世代修正値］分の追加ダメージを受け、火や日光による恐怖狂乱の難易度も［世代修正値］分上昇します。,背徳 (Transgression): 衝撃的な道徳的・社会的禁忌を犯そうと暴走します。神聖な象徴を破壊し、周囲の人間に信念を破らせ、自らの最も暗い悪徳を衆人環視の中で満たそうとします。,堕落（Corruption）、隠匿（Obfuscate）、威厳（Presence）の3つの訓えを標準で習得可能です。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,1,矛盾の囁き (Contradict),1-dot Social Corruption,アクション (Action),社会: 操作力 (Manipulation),1ヴィータイ (1 Vitae),対象の平静 (Target's Composure),近距離 (Near),1ターン (One turn),疑念の囁きで対象の予定していた行動を正反対のものへと覆す。,相手の心に微細な疑念を囁きかけ、対象がその手番で予定していた意図や行動とは正反対のことを強制的に行わせる。,"•••: 同時に複数の対象に影響を与えることができる。
•••••: 対象を操り、その味方を攻撃させることができる。",Whisper a subtle doubt that forces the target to do the opposite of what they planned for their turn.,"•••: Affects multiple targets.
•••••: Forces target to attack their ally."
ミニストリー,The Ministry,真に自由になるためには、己自身に屈服せよ。,カルト指導者、快楽主義のアーティスト、違法薬物の元締め、過激派セラピスト、裏社会の銀行家,かつて「セトの信徒」として恐れられたミニストリーは、道徳律や法、宗教的戒律はすべて魂を束縛する鎖にすぎないと説きます。真の精神的解放を得るには、あらゆる禁忌を犯し、欲望の限界を試し、己を縛るすべての偽善を粉砕しなければならないと考えます。彼らは誘惑者であり霊的導き手として、人々が最も渇望するものを提供し、快楽と負債の網へと絡め取っていきます。,誘惑者 (Tempting Beast): 他者を堕落させ、禁忌を打ち破ることを切望します。他人に悪徳を犯させ、誓いを破らせ、偽善を暴き立てることで獣を満たします。,陽光の禍 (Sunlight Bane): 日光に対する脆弱性が他氏族より遥かに深刻です。日光に晒された際に［世代修正値］分の追加ダメージを受け、火や日光による恐怖狂乱の難易度も［世代修正値］分上昇します。,背徳 (Transgression): 衝撃的な道徳的・社会的禁忌を犯そうと暴走します。神聖な象徴を破壊し、周囲の人間に信念を破らせ、自らの最も暗い悪徳を衆人環視の中で満たそうとします。,堕落（Corruption）、隠匿（Obfuscate）、威厳（Presence）の3つの訓えを標準で習得可能です。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,1,悪夢の幻視 (Nightmare Glimpses),1-dot Mental Corruption,アクション (Action),社会: 操作力 (Manipulation),意志力1点 (1 Willpower),対象の決意 (Target's Resolve),近距離 (Near),即時 (Instant),対象の最悪の恐怖を幻視させ、強烈な恐怖と躊躇を植え付ける。,対象の心の奥底にある最も根源的な恐怖の幻覚を見せつけ、パニックに陥らせて行動を躊躇・中断させる。,"•••: パニックに陥った対象が所持品をその場に投げ出してしまう。
•••••: 対象を恐怖による完全な麻痺状態に陥れる。","Cause the target to see horrifying visions of their deepest fears, inflicting terror and hesitation.","•••: Target drops items in panic.
•••••: Target suffers paralyzing terror."
ミニストリー,The Ministry,真に自由になるためには、己自身に屈服せよ。,カルト指導者、快楽主義のアーティスト、違法薬物の元締め、過激派セラピスト、裏社会の銀行家,かつて「セトの信徒」として恐れられたミニストリーは、道徳律や法、宗教的戒律はすべて魂を束縛する鎖にすぎないと説きます。真の精神的解放を得るには、あらゆる禁忌を犯し、欲望の限界を試し、己を縛るすべての偽善を粉砕しなければならないと考えます。彼らは誘惑者であり霊的導き手として、人々が最も渇望するものを提供し、快楽と負債の網へと絡め取っていきます。,誘惑者 (Tempting Beast): 他者を堕落させ、禁忌を打ち破ることを切望します。他人に悪徳を犯させ、誓いを破らせ、偽善を暴き立てることで獣を満たします。,陽光の禍 (Sunlight Bane): 日光に対する脆弱性が他氏族より遥かに深刻です。日光に晒された際に［世代修正値］分の追加ダメージを受け、火や日光による恐怖狂乱の難易度も［世代修正値］分上昇します。,背徳 (Transgression): 衝撃的な道徳的・社会的禁忌を犯そうと暴走します。神聖な象徴を破壊し、周囲の人間に信念を破らせ、自らの最も暗い悪徳を衆人環視の中で満たそうとします。,堕落（Corruption）、隠匿（Obfuscate）、威厳（Presence）の3つの訓えを標準で習得可能です。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,1,自己疑念 (Self Doubt),1-dot Social Corruption,アクション (Action),社会: 操作力 (Manipulation),なし (None),対象の平静 (Target's Composure),近距離 (Near),1シーン (One scene),壊滅的な自己不信を植え付け、対象のテストにペナルティを与える。,対象の心に強烈な劣等感と自己不信を植え付け、持続時間中、対象のあらゆるテストに［コラプションのドット数］に等しいダイスペナルティを課す。,"•••: 声の届く範囲にいる対象の味方全員にもペナルティが適用される。
•••••: 交渉において対象が即座に白旗を揚げて屈服する。","Inflict crushing self-doubt on a target, imposing a dice penalty to their tests equal to your Corruption dots.","•••: Penalty applies to all allies within earshot.
•••••: Target yields immediately in negotiation."
ミニストリー,The Ministry,真に自由になるためには、己自身に屈服せよ。,カルト指導者、快楽主義のアーティスト、違法薬物の元締め、過激派セラピスト、裏社会の銀行家,かつて「セトの信徒」として恐れられたミニストリーは、道徳律や法、宗教的戒律はすべて魂を束縛する鎖にすぎないと説きます。真の精神的解放を得るには、あらゆる禁忌を犯し、欲望の限界を試し、己を縛るすべての偽善を粉砕しなければならないと考えます。彼らは誘惑者であり霊的導き手として、人々が最も渇望するものを提供し、快楽と負債の網へと絡め取っていきます。,誘惑者 (Tempting Beast): 他者を堕落させ、禁忌を打ち破ることを切望します。他人に悪徳を犯させ、誓いを破らせ、偽善を暴き立てることで獣を満たします。,陽光の禍 (Sunlight Bane): 日光に対する脆弱性が他氏族より遥かに深刻です。日光に晒された際に［世代修正値］分の追加ダメージを受け、火や日光による恐怖狂乱の難易度も［世代修正値］分上昇します。,背徳 (Transgression): 衝撃的な道徳的・社会的禁忌を犯そうと暴走します。神聖な象徴を破壊し、周囲の人間に信念を破らせ、自らの最も暗い悪徳を衆人環視の中で満たそうとします。,堕落（Corruption）、隠匿（Obfuscate）、威厳（Presence）の3つの訓えを標準で習得可能です。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,2,永続する呪詛 (Lingering Curse),2-dot Social Corruption,アクション (Action),社会: 操作力 (Manipulation),1ヴィータイ (1 Vitae),対象の決意 (Target's Resolve),接触 (Touch),1夜 (One night),超自然的な不運を刻み込み、判定失敗時に破滅的結果を招かせる。,対象に災厄の呪いを付与する。対象が判定でファンブル（致命的失敗）を出した際、その結果が壊滅的な大惨事へと発展する。,"•••: 呪いの効果が1週間にわたって持続する。
•••••: 呪いの効果が1ヶ月間にわたって持続する。","Afflict target with supernatural bad luck; whenever they roll a critical failure, the consequences are disastrous.","•••: Lasts for a week.
•••••: Lasts for a month."
ミニストリー,The Ministry,真に自由になるためには、己自身に屈服せよ。,カルト指導者、快楽主義のアーティスト、違法薬物の元締め、過激派セラピスト、裏社会の銀行家,かつて「セトの信徒」として恐れられたミニストリーは、道徳律や法、宗教的戒律はすべて魂を束縛する鎖にすぎないと説きます。真の精神的解放を得るには、あらゆる禁忌を犯し、欲望の限界を試し、己を縛るすべての偽善を粉砕しなければならないと考えます。彼らは誘惑者であり霊的導き手として、人々が最も渇望するものを提供し、快楽と負債の網へと絡め取っていきます。,誘惑者 (Tempting Beast): 他者を堕落させ、禁忌を打ち破ることを切望します。他人に悪徳を犯させ、誓いを破らせ、偽善を暴き立てることで獣を満たします。,陽光の禍 (Sunlight Bane): 日光に対する脆弱性が他氏族より遥かに深刻です。日光に晒された際に［世代修正値］分の追加ダメージを受け、火や日光による恐怖狂乱の難易度も［世代修正値］分上昇します。,背徳 (Transgression): 衝撃的な道徳的・社会的禁忌を犯そうと暴走します。神聖な象徴を破壊し、周囲の人間に信念を破らせ、自らの最も暗い悪徳を衆人環視の中で満たそうとします。,堕落（Corruption）、隠匿（Obfuscate）、威厳（Presence）の3つの訓えを標準で習得可能です。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,2,蛇の誘惑 (Serpent's Seduction),2-dot Social Corruption,アクション (Action),社会: カリスマ (Charisma),1ヴィータイ (1 Vitae),対象の平静 (Target's Composure),視線が通る距離 (Line of sight),1シーン (One scene),対象の抑圧された罪深い欲望を呼び覚まし、誘惑に屈服させる。,対象の心の奥底に潜む最も暗い罪悪感や悪徳の欲望をかき立て、自制心を奪って欲望に身を委ねさせる。,"•••: 対象が欲望を満たすために重犯罪に走るようになる。
•••••: 対象が術者の愛顧と指示に完全に依存・中毒する。","Stir the deepest sinful desire in a target, making them helpless against indulgence.","•••: Target commits crime to satisfy craving.
•••••: Target becomes completely addicted to your favor."
ミニストリー,The Ministry,真に自由になるためには、己自身に屈服せよ。,カルト指導者、快楽主義のアーティスト、違法薬物の元締め、過激派セラピスト、裏社会の銀行家,かつて「セトの信徒」として恐れられたミニストリーは、道徳律や法、宗教的戒律はすべて魂を束縛する鎖にすぎないと説きます。真の精神的解放を得るには、あらゆる禁忌を犯し、欲望の限界を試し、己を縛るすべての偽善を粉砕しなければならないと考えます。彼らは誘惑者であり霊的導き手として、人々が最も渇望するものを提供し、快楽と負債の網へと絡め取っていきます。,誘惑者 (Tempting Beast): 他者を堕落させ、禁忌を打ち破ることを切望します。他人に悪徳を犯させ、誓いを破らせ、偽善を暴き立てることで獣を満たします。,陽光の禍 (Sunlight Bane): 日光に対する脆弱性が他氏族より遥かに深刻です。日光に晒された際に［世代修正値］分の追加ダメージを受け、火や日光による恐怖狂乱の難易度も［世代修正値］分上昇します。,背徳 (Transgression): 衝撃的な道徳的・社会的禁忌を犯そうと暴走します。神聖な象徴を破壊し、周囲の人間に信念を破らせ、自らの最も暗い悪徳を衆人環視の中で満たそうとします。,堕落（Corruption）、隠匿（Obfuscate）、威厳（Presence）の3つの訓えを標準で習得可能です。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,2,猛毒の血 (Venomous Blood),2-dot Physical Corruption,リアクション (Reaction),肉体: 持久力 (Stamina),1ヴィータイ (1 Vitae),対象の持久力 (Target's Stamina),術者自身 (Self),1シーン (One scene),自身の血液を強酸性の猛毒に変え、攻撃者に破滅的ダメージを与える。,噛みつかれたり肉体を傷つけられた際、傷口から流れる血液が強酸と猛毒を帯びて肉を焼き、攻撃者に破滅的（Aggravated）ダメージを与える。,なし,"When bitten or cut, your blood burns flesh and corrodes weapons, dealing Aggravated damage to attackers.",None
ミニストリー,The Ministry,真に自由になるためには、己自身に屈服せよ。,カルト指導者、快楽主義のアーティスト、違法薬物の元締め、過激派セラピスト、裏社会の銀行家,かつて「セトの信徒」として恐れられたミニストリーは、道徳律や法、宗教的戒律はすべて魂を束縛する鎖にすぎないと説きます。真の精神的解放を得るには、あらゆる禁忌を犯し、欲望の限界を試し、己を縛るすべての偽善を粉砕しなければならないと考えます。彼らは誘惑者であり霊的導き手として、人々が最も渇望するものを提供し、快楽と負債の網へと絡め取っていきます。,誘惑者 (Tempting Beast): 他者を堕落させ、禁忌を打ち破ることを切望します。他人に悪徳を犯させ、誓いを破らせ、偽善を暴き立てることで獣を満たします。,陽光の禍 (Sunlight Bane): 日光に対する脆弱性が他氏族より遥かに深刻です。日光に晒された際に［世代修正値］分の追加ダメージを受け、火や日光による恐怖狂乱の難易度も［世代修正値］分上昇します。,背徳 (Transgression): 衝撃的な道徳的・社会的禁忌を犯そうと暴走します。神聖な象徴を破壊し、周囲の人間に信念を破らせ、自らの最も暗い悪徳を衆人環視の中で満たそうとします。,堕落（Corruption）、隠匿（Obfuscate）、威厳（Presence）の3つの訓えを標準で習得可能です。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,3,コブラの形態 (Form of the Cobra),3-dot Physical Corruption,アクション (Action),肉体: 持久力 (Stamina),2ヴィータイ (2 Vitae),なし (None),術者自身 (Self),1シーン (One scene),毒牙と催眠の眼差しを持つ巨大な黒コブラへと変身する。,自身の肉体を、猛毒の牙、硬質な鱗の装甲、そして催眠的な眼差しを持つ巨大な黒コブラへと変化させる。,•••••: 毒蛇の大群（スウォーム）へと変身・分散できるようになる。,"Your flesh transforms into a giant black cobra with venomous fangs, armored scales, and hypnotic gaze.",•••••: Can transform into a swarm of vipers.
ミニストリー,The Ministry,真に自由になるためには、己自身に屈服せよ。,カルト指導者、快楽主義のアーティスト、違法薬物の元締め、過激派セラピスト、裏社会の銀行家,かつて「セトの信徒」として恐れられたミニストリーは、道徳律や法、宗教的戒律はすべて魂を束縛する鎖にすぎないと説きます。真の精神的解放を得るには、あらゆる禁忌を犯し、欲望の限界を試し、己を縛るすべての偽善を粉砕しなければならないと考えます。彼らは誘惑者であり霊的導き手として、人々が最も渇望するものを提供し、快楽と負債の網へと絡め取っていきます。,誘惑者 (Tempting Beast): 他者を堕落させ、禁忌を打ち破ることを切望します。他人に悪徳を犯させ、誓いを破らせ、偽善を暴き立てることで獣を満たします。,陽光の禍 (Sunlight Bane): 日光に対する脆弱性が他氏族より遥かに深刻です。日光に晒された際に［世代修正値］分の追加ダメージを受け、火や日光による恐怖狂乱の難易度も［世代修正値］分上昇します。,背徳 (Transgression): 衝撃的な道徳的・社会的禁忌を犯そうと暴走します。神聖な象徴を破壊し、周囲の人間に信念を破らせ、自らの最も暗い悪徳を衆人環視の中で満たそうとします。,堕落（Corruption）、隠匿（Obfuscate）、威厳（Presence）の3つの訓えを標準で習得可能です。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,3,魂の引き裂き (Tear the Soul),3-dot Social Corruption,アクション (Action),社会: 操作力 (Manipulation),2ヴィータイ (2 Vitae),対象の決意 (Target's Resolve),近距離 (Near),即時 (Instant),対象の精神防御を粉砕し、意志力を根こそぎ奪い去る。,対象の精神の防壁を暴力的に破壊し、残されたすべての意志力ポイントを強制的に剥奪して無力化する。,•••••: 対象を完全な無気力・昏睡状態（緊張病性昏迷）に陥れる。,"Crush the target's mental defenses, stripping them of all remaining Willpower points.",•••••: Target falls into a catatonic stupor.
ミニストリー,The Ministry,真に自由になるためには、己自身に屈服せよ。,カルト指導者、快楽主義のアーティスト、違法薬物の元締め、過激派セラピスト、裏社会の銀行家,かつて「セトの信徒」として恐れられたミニストリーは、道徳律や法、宗教的戒律はすべて魂を束縛する鎖にすぎないと説きます。真の精神的解放を得るには、あらゆる禁忌を犯し、欲望の限界を試し、己を縛るすべての偽善を粉砕しなければならないと考えます。彼らは誘惑者であり霊的導き手として、人々が最も渇望するものを提供し、快楽と負債の網へと絡め取っていきます。,誘惑者 (Tempting Beast): 他者を堕落させ、禁忌を打ち破ることを切望します。他人に悪徳を犯させ、誓いを破らせ、偽善を暴き立てることで獣を満たします。,陽光の禍 (Sunlight Bane): 日光に対する脆弱性が他氏族より遥かに深刻です。日光に晒された際に［世代修正値］分の追加ダメージを受け、火や日光による恐怖狂乱の難易度も［世代修正値］分上昇します。,背徳 (Transgression): 衝撃的な道徳的・社会的禁忌を犯そうと暴走します。神聖な象徴を破壊し、周囲の人間に信念を破らせ、自らの最も暗い悪徳を衆人環視の中で満たそうとします。,堕落（Corruption）、隠匿（Obfuscate）、威厳（Presence）の3つの訓えを標準で習得可能です。,オブファスケイト (隠匿・隠密),周囲の知覚を幻惑して影に溶け込み、姿や音を完全に消し去り、自らの外見を別人に偽装する欺瞞と隠密の訓え。,1,影の外套 (Cloak of Shadows),1-dot Mental Obfuscate,アクション (Action),精神: 機知 (Wits),なし (None),なし (None),術者自身 (Self),移動するまで持続 (Until moved),静止している限り影に完全に同化し、視界から消失する。,周囲の影や薄暗がりに溶け込む。音を立てず静止している限り、観察者は術者の姿を視覚的に認識することができない。,"•••: 姿を隠したままゆっくりと隠密移動できるようになる。
•••••: 同行者2人を同時に影に潜ませて隠匿できる。","Blend seamlessly into shadows. So long as you do not move or make noise, observers cannot see you.","•••: Can move slowly while concealed.
•••••: Can conceal 2 companions."
ミニストリー,The Ministry,真に自由になるためには、己自身に屈服せよ。,カルト指導者、快楽主義のアーティスト、違法薬物の元締め、過激派セラピスト、裏社会の銀行家,かつて「セトの信徒」として恐れられたミニストリーは、道徳律や法、宗教的戒律はすべて魂を束縛する鎖にすぎないと説きます。真の精神的解放を得るには、あらゆる禁忌を犯し、欲望の限界を試し、己を縛るすべての偽善を粉砕しなければならないと考えます。彼らは誘惑者であり霊的導き手として、人々が最も渇望するものを提供し、快楽と負債の網へと絡め取っていきます。,誘惑者 (Tempting Beast): 他者を堕落させ、禁忌を打ち破ることを切望します。他人に悪徳を犯させ、誓いを破らせ、偽善を暴き立てることで獣を満たします。,陽光の禍 (Sunlight Bane): 日光に対する脆弱性が他氏族より遥かに深刻です。日光に晒された際に［世代修正値］分の追加ダメージを受け、火や日光による恐怖狂乱の難易度も［世代修正値］分上昇します。,背徳 (Transgression): 衝撃的な道徳的・社会的禁忌を犯そうと暴走します。神聖な象徴を破壊し、周囲の人間に信念を破らせ、自らの最も暗い悪徳を衆人環視の中で満たそうとします。,堕落（Corruption）、隠匿（Obfuscate）、威厳（Presence）の3つの訓えを標準で習得可能です。,オブファスケイト (隠匿・隠密),周囲の知覚を幻惑して影に溶け込み、姿や音を完全に消し去り、自らの外見を別人に偽装する欺瞞と隠密の訓え。,1,物体の隠蔽 (Conceal),1-dot Mental Obfuscate,アクション (Action),精神: 機知 (Wits),なし (None),なし (None),接触 (Touch),1シーン (One scene),武器や鞄、乗り物などの物体を人々の視覚から隠蔽する。,指定した物体（武器、バッグ、車両など）に隠蔽の膜を張り、周囲の人間や吸血鬼がその存在に気づかずに見過ごすように仕向ける。,なし,"Cloak an object (weapon, bag, vehicle) so that onlookers look right past it without noticing.",None
