氏族名,氏族英語名,標語,典型的な元人間像,氏族の詳細概要,内なる獣の衝動,氏族の呪い,狂乱の性質,取得可能な訓え一覧,訓え名,訓えの概要説明,ドット数,パワー名,系統・種別,発動タイプ,使用能力値,発動コスト,抵抗/難易度,射程/距離,持続時間,パワー概要,効果とルールの詳細 (日本語),成熟ルール (上位ドット時の強化),Rules_Description (英語原文),Maturing_Rules (英語原文)
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,1,矛盾の囁き (Contradict),1-dot Social Corruption,アクション (Action),社会: 操作力 (Manipulation),1ヴィータイ (1 Vitae),対象の平静 (Target's Composure),近距離 (Near),1ターン (One turn),疑念の囁きで対象の予定していた行動を正反対のものへと覆す。,相手の心に微細な疑念を囁きかけ、対象がその手番で予定していた意図や行動とは正反対のことを強制的に行わせる。,"•••: 同時に複数の対象に影響を与えることができる。
•••••: 対象を操り、その味方を攻撃させることができる。",Whisper a subtle doubt that forces the target to do the opposite of what they planned for their turn.,"•••: Affects multiple targets.
•••••: Forces target to attack their ally."
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,1,悪夢の幻視 (Nightmare Glimpses),1-dot Mental Corruption,アクション (Action),社会: 操作力 (Manipulation),意志力1点 (1 Willpower),対象の決意 (Target's Resolve),近距離 (Near),即時 (Instant),対象の最悪の恐怖を幻視させ、強烈な恐怖と躊躇を植え付ける。,対象の心の奥底にある最も根源的な恐怖の幻覚を見せつけ、パニックに陥らせて行動を躊躇・中断させる。,"•••: パニックに陥った対象が所持品をその場に投げ出してしまう。
•••••: 対象を恐怖による完全な麻痺状態に陥れる。","Cause the target to see horrifying visions of their deepest fears, inflicting terror and hesitation.","•••: Target drops items in panic.
•••••: Target suffers paralyzing terror."
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,1,自己疑念 (Self Doubt),1-dot Social Corruption,アクション (Action),社会: 操作力 (Manipulation),なし (None),対象の平静 (Target's Composure),近距離 (Near),1シーン (One scene),壊滅的な自己不信を植え付け、対象のテストにペナルティを与える。,対象の心に強烈な劣等感と自己不信を植え付け、持続時間中、対象のあらゆるテストに［コラプションのドット数］に等しいダイスペナルティを課す。,"•••: 声の届く範囲にいる対象の味方全員にもペナルティが適用される。
•••••: 交渉において対象が即座に白旗を揚げて屈服する。","Inflict crushing self-doubt on a target, imposing a dice penalty to their tests equal to your Corruption dots.","•••: Penalty applies to all allies within earshot.
•••••: Target yields immediately in negotiation."
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,2,永続する呪詛 (Lingering Curse),2-dot Social Corruption,アクション (Action),社会: 操作力 (Manipulation),1ヴィータイ (1 Vitae),対象の決意 (Target's Resolve),接触 (Touch),1夜 (One night),超自然的な不運を刻み込み、判定失敗時に破滅的結果を招かせる。,対象に災厄の呪いを付与する。対象が判定でファンブル（致命的失敗）を出した際、その結果が壊滅的な大惨事へと発展する。,"•••: 呪いの効果が1週間にわたって持続する。
•••••: 呪いの効果が1ヶ月間にわたって持続する。","Afflict target with supernatural bad luck; whenever they roll a critical failure, the consequences are disastrous.","•••: Lasts for a week.
•••••: Lasts for a month."
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,2,蛇の誘惑 (Serpent's Seduction),2-dot Social Corruption,アクション (Action),社会: カリスマ (Charisma),1ヴィータイ (1 Vitae),対象の平静 (Target's Composure),視線が通る距離 (Line of sight),1シーン (One scene),対象の抑圧された罪深い欲望を呼び覚まし、誘惑に屈服させる。,対象の心の奥底に潜む最も暗い罪悪感や悪徳の欲望をかき立て、自制心を奪って欲望に身を委ねさせる。,"•••: 対象が欲望を満たすために重犯罪に走るようになる。
•••••: 対象が術者の愛顧と指示に完全に依存・中毒する。","Stir the deepest sinful desire in a target, making them helpless against indulgence.","•••: Target commits crime to satisfy craving.
•••••: Target becomes completely addicted to your favor."
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,2,猛毒の血 (Venomous Blood),2-dot Physical Corruption,リアクション (Reaction),肉体: 持久力 (Stamina),1ヴィータイ (1 Vitae),対象の持久力 (Target's Stamina),術者自身 (Self),1シーン (One scene),自身の血液を強酸性の猛毒に変え、攻撃者に破滅的ダメージを与える。,噛みつかれたり肉体を傷つけられた際、傷口から流れる血液が強酸と猛毒を帯びて肉を焼き、攻撃者に破滅的（Aggravated）ダメージを与える。,なし,"When bitten or cut, your blood burns flesh and corrodes weapons, dealing Aggravated damage to attackers.",None
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,3,コブラの形態 (Form of the Cobra),3-dot Physical Corruption,アクション (Action),肉体: 持久力 (Stamina),2ヴィータイ (2 Vitae),なし (None),術者自身 (Self),1シーン (One scene),毒牙と催眠の眼差しを持つ巨大な黒コブラへと変身する。,自身の肉体を、猛毒の牙、硬質な鱗の装甲、そして催眠的な眼差しを持つ巨大な黒コブラへと変化させる。,•••••: 毒蛇の大群（スウォーム）へと変身・分散できるようになる。,"Your flesh transforms into a giant black cobra with venomous fangs, armored scales, and hypnotic gaze.",•••••: Can transform into a swarm of vipers.
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,コラプション (堕落・誘惑),他者の心に疑念や悪夢、抑えがたい罪の欲望を植え付け、精神と魂を蝕んで意のままに操る闇の訓え。毒蛇への変身や猛毒の血をも操る。,3,魂の引き裂き (Tear the Soul),3-dot Social Corruption,アクション (Action),社会: 操作力 (Manipulation),2ヴィータイ (2 Vitae),対象の決意 (Target's Resolve),近距離 (Near),即時 (Instant),対象の精神防御を粉砕し、意志力を根こそぎ奪い去る。,対象の精神の防壁を暴力的に破壊し、残されたすべての意志力ポイントを強制的に剥奪して無力化する。,•••••: 対象を完全な無気力・昏睡状態（緊張病性昏迷）に陥れる。,"Crush the target's mental defenses, stripping them of all remaining Willpower points.",•••••: Target falls into a catatonic stupor.
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,1,記憶の霧散 (Cloud Memory),1-dot Mental Dominate,アクション (Action),社会: 操作力 (Manipulation),なし (None),対象の決意 (Target's Resolve),アイコンタクト/目を合わせた状態 (Eye contact),永続 (Permanent),直前数分間の記憶を消去するか、無害な記憶に改ざんする。,視線を合わせた対象の過去数分間の記憶を完全に消し去るか、都合の良い曖昧で無害な記憶へとすり替える。,なし,"Erase the last few minutes of a target's memory or replace them with a vague, harmless recollection.",None
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,1,一言の命令 (Command),1-dot Mental Dominate,アクション (Action),社会: カリスマ (Charisma),なし (None),対象の決意 (Target's Resolve),アイコンタクト/目を合わせた状態 (Eye contact),1ターン (One turn),「止まれ」「落とせ」等の一言の命令で対象を即座に従わせる。,視線を固定し、1語の簡潔な命令（「止まれ」「走れ」「落とせ」「眠れ」など）を下す。対象はその手番ですぐに命令に従わなければならない。,なし,"Lock eyes and issue a one-word command ('Halt', 'Drop', 'Run', 'Sleep') that the target must obey immediately.",None
