氏族名,氏族英語名,標語,典型的な元人間像,氏族の詳細概要,内なる獣の衝動,氏族の呪い,狂乱の性質,取得可能な訓え一覧,訓え名,訓えの概要説明,ドット数,パワー名,系統・種別,発動タイプ,使用能力値,発動コスト,抵抗/難易度,射程/距離,持続時間,パワー概要,効果とルールの詳細 (日本語),成熟ルール (上位ドット時の強化),Rules_Description (英語原文),Maturing_Rules (英語原文)
トレアドール,Toreador,美は永遠であり、それへの我らの渇望もまた永遠である。,前衛芸術家、ファッションデザイナー、スーパーモデル、画廊オーナー、ポップアイドル、辛口の美術批評家,「薔薇の氏族」として知られるトレアドールは、美こそが永遠の命を生きる唯一の価値であると信じています。芸術、情熱、歓喜、そして苦悶のすべてを極限まで感じ取ることによってのみ、不死者が陥る無感動の腐敗を防ぐことができると考えます。彼らは人間と吸血鬼の上流社交界の頂点に君臨し、流行を作り出し、一瞥で他者の評価を天国にも地獄にも落とす審美眼とカリスマを誇ります。,偶像 / 執念深き職人 (Obsessive Artisan): 美、完璧さ、圧倒的な感情の高まりに魅了されます。卓越した芸術を創造し、崇高な傑作や感情に触れ、人々からの熱狂的な称賛を浴びることで獣を満たします。,美への飢え (Starved for Beauty): 超自然的な美的感受性が極めて過敏です。殺風景、不潔、工業的、または美的優雅さに欠ける環境に置かれると血が衰弱し、全ダイスプールに［世代修正値］分のペナルティを受けます。,執着 (Obsession): 周囲にある美しい物体、人物、芸術的パフォーマンスに完全に心を奪われ固執します。周囲に美しいものが存在しない場合は、感性を害した下品で醜い要素を破壊しようと激昂します。,予見（Auspex）、迅速（Celerity）、威厳（Presence）の3つの訓えを標準で習得可能です。,オースペクス (予見・霊視),感覚の超自然的拡張、精神感応（テレパシー）、過去視、危険予知を司る知覚の訓え。不可視の霊や欺瞞を見破り、遠隔の情景を監視する。,1,解析の眼 (Analyze),1-dot Mental Auspex,アクション (Action),精神: 知力 (Intelligence),意志力1点 (1 Willpower),なし (None),接触 (Touch),即時 (Instant),物体を精査し、その組成、年代、製作者、扱った人物の履歴を読み取る。,物体に精神を集中して精査することで、その構成物質、正確な年代、製作者、および最近その物体を手に取った人物の痕跡を識別する。,"•••: 過去の所有者が残した残留思念やサイキックな印象を読み取れる。
•••••: 製作者がその物体を作った際の感情状態を正確に再現・感知できる。","Examine an object to discern its composition, age, maker, and recent handling history.","•••: Discern psychic impressions left by owners.
•••••: Reconstruct the creator's exact emotional state."
トレアドール,Toreador,美は永遠であり、それへの我らの渇望もまた永遠である。,前衛芸術家、ファッションデザイナー、スーパーモデル、画廊オーナー、ポップアイドル、辛口の美術批評家,「薔薇の氏族」として知られるトレアドールは、美こそが永遠の命を生きる唯一の価値であると信じています。芸術、情熱、歓喜、そして苦悶のすべてを極限まで感じ取ることによってのみ、不死者が陥る無感動の腐敗を防ぐことができると考えます。彼らは人間と吸血鬼の上流社交界の頂点に君臨し、流行を作り出し、一瞥で他者の評価を天国にも地獄にも落とす審美眼とカリスマを誇ります。,偶像 / 執念深き職人 (Obsessive Artisan): 美、完璧さ、圧倒的な感情の高まりに魅了されます。卓越した芸術を創造し、崇高な傑作や感情に触れ、人々からの熱狂的な称賛を浴びることで獣を満たします。,美への飢え (Starved for Beauty): 超自然的な美的感受性が極めて過敏です。殺風景、不潔、工業的、または美的優雅さに欠ける環境に置かれると血が衰弱し、全ダイスプールに［世代修正値］分のペナルティを受けます。,執着 (Obsession): 周囲にある美しい物体、人物、芸術的パフォーマンスに完全に心を奪われ固執します。周囲に美しいものが存在しない場合は、感性を害した下品で醜い要素を破壊しようと激昂します。,予見（Auspex）、迅速（Celerity）、威厳（Presence）の3つの訓えを標準で習得可能です。,オースペクス (予見・霊視),感覚の超自然的拡張、精神感応（テレパシー）、過去視、危険予知を司る知覚の訓え。不可視の霊や欺瞞を見破り、遠隔の情景を監視する。,1,五感の研ぎ澄まし (Heightened Senses),1-dot Mental Auspex,アクション (Action),精神: 機知 (Wits),なし (None),なし (None),術者自身 (Self),集中維持中 (Sustained),視覚、聴覚、嗅覚、触覚の知覚距離と感度を倍増させ、暗視を得る。,感覚器官を超自然的に拡張し、視覚、聴覚、嗅覚、触覚の範囲と感度を2倍にする。知覚に関する全テストに［オースペクスのドット数］を加える。ほぼ完全な暗黒でも視界を確保できる。,なし,"Double the range and sensitivity of your vision, hearing, smell, or touch. Add dots in Auspex to all perception tests. Can see in near-total darkness.",None
トレアドール,Toreador,美は永遠であり、それへの我らの渇望もまた永遠である。,前衛芸術家、ファッションデザイナー、スーパーモデル、画廊オーナー、ポップアイドル、辛口の美術批評家,「薔薇の氏族」として知られるトレアドールは、美こそが永遠の命を生きる唯一の価値であると信じています。芸術、情熱、歓喜、そして苦悶のすべてを極限まで感じ取ることによってのみ、不死者が陥る無感動の腐敗を防ぐことができると考えます。彼らは人間と吸血鬼の上流社交界の頂点に君臨し、流行を作り出し、一瞥で他者の評価を天国にも地獄にも落とす審美眼とカリスマを誇ります。,偶像 / 執念深き職人 (Obsessive Artisan): 美、完璧さ、圧倒的な感情の高まりに魅了されます。卓越した芸術を創造し、崇高な傑作や感情に触れ、人々からの熱狂的な称賛を浴びることで獣を満たします。,美への飢え (Starved for Beauty): 超自然的な美的感受性が極めて過敏です。殺風景、不潔、工業的、または美的優雅さに欠ける環境に置かれると血が衰弱し、全ダイスプールに［世代修正値］分のペナルティを受けます。,執着 (Obsession): 周囲にある美しい物体、人物、芸術的パフォーマンスに完全に心を奪われ固執します。周囲に美しいものが存在しない場合は、感性を害した下品で醜い要素を破壊しようと激昂します。,予見（Auspex）、迅速（Celerity）、威厳（Presence）の3つの訓えを標準で習得可能です。,オースペクス (予見・霊視),感覚の超自然的拡張、精神感応（テレパシー）、過去視、危険予知を司る知覚の訓え。不可視の霊や欺瞞を見破り、遠隔の情景を監視する。,1,不可視の感知 (Sense the Unseen),1-dot Mental Auspex,アクション (Action),精神: 機知 (Wits),なし (None),なし (None),術者自身 (Self),1シーン (One scene),不可視の霊体、隠匿（Obfuscate）による偽装、魔法の結界を感知する。,超自然的な存在、隠匿（Obfuscate）による幻覚や潜伏、霊体、魔法の結界などを感知する。隠匿している相手のドット数とオースペクスのドット数で対抗テストを行う。,なし,"Detect the presence of supernatural beings, illusions (Obfuscate), spirits, or magical wards. Contest your Auspex vs Obfuscate dots.",None
トレアドール,Toreador,美は永遠であり、それへの我らの渇望もまた永遠である。,前衛芸術家、ファッションデザイナー、スーパーモデル、画廊オーナー、ポップアイドル、辛口の美術批評家,「薔薇の氏族」として知られるトレアドールは、美こそが永遠の命を生きる唯一の価値であると信じています。芸術、情熱、歓喜、そして苦悶のすべてを極限まで感じ取ることによってのみ、不死者が陥る無感動の腐敗を防ぐことができると考えます。彼らは人間と吸血鬼の上流社交界の頂点に君臨し、流行を作り出し、一瞥で他者の評価を天国にも地獄にも落とす審美眼とカリスマを誇ります。,偶像 / 執念深き職人 (Obsessive Artisan): 美、完璧さ、圧倒的な感情の高まりに魅了されます。卓越した芸術を創造し、崇高な傑作や感情に触れ、人々からの熱狂的な称賛を浴びることで獣を満たします。,美への飢え (Starved for Beauty): 超自然的な美的感受性が極めて過敏です。殺風景、不潔、工業的、または美的優雅さに欠ける環境に置かれると血が衰弱し、全ダイスプールに［世代修正値］分のペナルティを受けます。,執着 (Obsession): 周囲にある美しい物体、人物、芸術的パフォーマンスに完全に心を奪われ固執します。周囲に美しいものが存在しない場合は、感性を害した下品で醜い要素を破壊しようと激昂します。,予見（Auspex）、迅速（Celerity）、威厳（Presence）の3つの訓えを標準で習得可能です。,オースペクス (予見・霊視),感覚の超自然的拡張、精神感応（テレパシー）、過去視、危険予知を司る知覚の訓え。不可視の霊や欺瞞を見破り、遠隔の情景を監視する。,2,危険予知 (Premonition),2-dot Mental Auspex,リアクション (Reaction),精神: 機知 (Wits),意志力1点 (1 Willpower),なし (None),術者自身 (Self),即時 (Instant),直感的な未来の予兆を感じ取り、不意打ちや奇襲を回避する。,危険が訪れる直前に警告の閃きを受け取る。奇襲や不意打ちを回避し、防御テストにボーナスを得るか、STから謎めいた未来の予兆（オメーン）を受け取る。,なし,"Receive flashes of danger before it strikes. Avoid being ambushed, gain defense bonuses on surprise attacks, or receive cryptic omens from the Storyteller.",None
トレアドール,Toreador,美は永遠であり、それへの我らの渇望もまた永遠である。,前衛芸術家、ファッションデザイナー、スーパーモデル、画廊オーナー、ポップアイドル、辛口の美術批評家,「薔薇の氏族」として知られるトレアドールは、美こそが永遠の命を生きる唯一の価値であると信じています。芸術、情熱、歓喜、そして苦悶のすべてを極限まで感じ取ることによってのみ、不死者が陥る無感動の腐敗を防ぐことができると考えます。彼らは人間と吸血鬼の上流社交界の頂点に君臨し、流行を作り出し、一瞥で他者の評価を天国にも地獄にも落とす審美眼とカリスマを誇ります。,偶像 / 執念深き職人 (Obsessive Artisan): 美、完璧さ、圧倒的な感情の高まりに魅了されます。卓越した芸術を創造し、崇高な傑作や感情に触れ、人々からの熱狂的な称賛を浴びることで獣を満たします。,美への飢え (Starved for Beauty): 超自然的な美的感受性が極めて過敏です。殺風景、不潔、工業的、または美的優雅さに欠ける環境に置かれると血が衰弱し、全ダイスプールに［世代修正値］分のペナルティを受けます。,執着 (Obsession): 周囲にある美しい物体、人物、芸術的パフォーマンスに完全に心を奪われ固執します。周囲に美しいものが存在しない場合は、感性を害した下品で醜い要素を破壊しようと激昂します。,予見（Auspex）、迅速（Celerity）、威厳（Presence）の3つの訓えを標準で習得可能です。,オースペクス (予見・霊視),感覚の超自然的拡張、精神感応（テレパシー）、過去視、危険予知を司る知覚の訓え。不可視の霊や欺瞞を見破り、遠隔の情景を監視する。,2,過去視 (Psychometry),2-dot Mental Auspex,アクション (Action),精神: 決意 (Resolve),1ヴィータイ (1 Vitae),なし (None),接触 (Touch),即時 (Instant),物体や場所に触れて、過去の強烈な感情や事件の思念を読み取る。,物体や場所に触れることで、その場や物体の周囲で過去に発生した最も強烈な感情的出来事のサイキックなビジョンを追体験する。,なし,Touch an object or location to experience intense psychic visions of the strongest emotional events that occurred in its presence.,None
トレアドール,Toreador,美は永遠であり、それへの我らの渇望もまた永遠である。,前衛芸術家、ファッションデザイナー、スーパーモデル、画廊オーナー、ポップアイドル、辛口の美術批評家,「薔薇の氏族」として知られるトレアドールは、美こそが永遠の命を生きる唯一の価値であると信じています。芸術、情熱、歓喜、そして苦悶のすべてを極限まで感じ取ることによってのみ、不死者が陥る無感動の腐敗を防ぐことができると考えます。彼らは人間と吸血鬼の上流社交界の頂点に君臨し、流行を作り出し、一瞥で他者の評価を天国にも地獄にも落とす審美眼とカリスマを誇ります。,偶像 / 執念深き職人 (Obsessive Artisan): 美、完璧さ、圧倒的な感情の高まりに魅了されます。卓越した芸術を創造し、崇高な傑作や感情に触れ、人々からの熱狂的な称賛を浴びることで獣を満たします。,美への飢え (Starved for Beauty): 超自然的な美的感受性が極めて過敏です。殺風景、不潔、工業的、または美的優雅さに欠ける環境に置かれると血が衰弱し、全ダイスプールに［世代修正値］分のペナルティを受けます。,執着 (Obsession): 周囲にある美しい物体、人物、芸術的パフォーマンスに完全に心を奪われ固執します。周囲に美しいものが存在しない場合は、感性を害した下品で醜い要素を破壊しようと激昂します。,予見（Auspex）、迅速（Celerity）、威厳（Presence）の3つの訓えを標準で習得可能です。,オースペクス (予見・霊視),感覚の超自然的拡張、精神感応（テレパシー）、過去視、危険予知を司る知覚の訓え。不可視の霊や欺瞞を見破り、遠隔の情景を監視する。,2,精神感応 (Telepathy),2-dot Mental Auspex,アクション (Action),社会: 操作力 (Manipulation),意志力1点 (1 Willpower),対象の決意 (Target's Resolve),視線が通る距離 (Line of sight),1シーン (One scene),無言の精神リンクを結び、表面思考の読み取りや念話を行う。,相手の心と精神的リンクを確立し、表面思考を読み取るか、自らの思考を相手の頭脳に直接投影して無言の意思疎通を行う。,"•••: 相手の深層意識に抑圧された記憶まで読み取ることができる。
•••••: 同時に最大5人の精神と念話を行うことができる。",Establish a silent mental link to read surface thoughts or project your thoughts into the target's mind.,"•••: Read deep suppressed memories.
•••••: Communicate with up to 5 minds simultaneously."
トレアドール,Toreador,美は永遠であり、それへの我らの渇望もまた永遠である。,前衛芸術家、ファッションデザイナー、スーパーモデル、画廊オーナー、ポップアイドル、辛口の美術批評家,「薔薇の氏族」として知られるトレアドールは、美こそが永遠の命を生きる唯一の価値であると信じています。芸術、情熱、歓喜、そして苦悶のすべてを極限まで感じ取ることによってのみ、不死者が陥る無感動の腐敗を防ぐことができると考えます。彼らは人間と吸血鬼の上流社交界の頂点に君臨し、流行を作り出し、一瞥で他者の評価を天国にも地獄にも落とす審美眼とカリスマを誇ります。,偶像 / 執念深き職人 (Obsessive Artisan): 美、完璧さ、圧倒的な感情の高まりに魅了されます。卓越した芸術を創造し、崇高な傑作や感情に触れ、人々からの熱狂的な称賛を浴びることで獣を満たします。,美への飢え (Starved for Beauty): 超自然的な美的感受性が極めて過敏です。殺風景、不潔、工業的、または美的優雅さに欠ける環境に置かれると血が衰弱し、全ダイスプールに［世代修正値］分のペナルティを受けます。,執着 (Obsession): 周囲にある美しい物体、人物、芸術的パフォーマンスに完全に心を奪われ固執します。周囲に美しいものが存在しない場合は、感性を害した下品で醜い要素を破壊しようと激昂します。,予見（Auspex）、迅速（Celerity）、威厳（Presence）の3つの訓えを標準で習得可能です。,オースペクス (予見・霊視),感覚の超自然的拡張、精神感応（テレパシー）、過去視、危険予知を司る知覚の訓え。不可視の霊や欺瞞を見破り、遠隔の情景を監視する。,3,千里眼 (Clairvoyance),3-dot Mental Auspex,アクション (Action),精神: 機知/知覚 (Wits/Perception),1ヴィータイ (1 Vitae),なし (None),極長距離/都市内 (Extreme),1シーン (One scene),親しみのある遠隔の場所へ視覚や聴覚を投射して監視する。,自らの視覚と聴覚を、かつて訪れたことのある都市内の任意の場所へと投射し、あたかもその場に立っているかのように遠隔の状況を観察する。,•••••: 大陸を越えた遠方の場所へも感覚を投射できるようになる。,"Project your visual and auditory senses to a familiar location anywhere in the city, viewing events as though you were physically standing there.",•••••: Can project senses across entire continents.
トレアドール,Toreador,美は永遠であり、それへの我らの渇望もまた永遠である。,前衛芸術家、ファッションデザイナー、スーパーモデル、画廊オーナー、ポップアイドル、辛口の美術批評家,「薔薇の氏族」として知られるトレアドールは、美こそが永遠の命を生きる唯一の価値であると信じています。芸術、情熱、歓喜、そして苦悶のすべてを極限まで感じ取ることによってのみ、不死者が陥る無感動の腐敗を防ぐことができると考えます。彼らは人間と吸血鬼の上流社交界の頂点に君臨し、流行を作り出し、一瞥で他者の評価を天国にも地獄にも落とす審美眼とカリスマを誇ります。,偶像 / 執念深き職人 (Obsessive Artisan): 美、完璧さ、圧倒的な感情の高まりに魅了されます。卓越した芸術を創造し、崇高な傑作や感情に触れ、人々からの熱狂的な称賛を浴びることで獣を満たします。,美への飢え (Starved for Beauty): 超自然的な美的感受性が極めて過敏です。殺風景、不潔、工業的、または美的優雅さに欠ける環境に置かれると血が衰弱し、全ダイスプールに［世代修正値］分のペナルティを受けます。,執着 (Obsession): 周囲にある美しい物体、人物、芸術的パフォーマンスに完全に心を奪われ固執します。周囲に美しいものが存在しない場合は、感性を害した下品で醜い要素を破壊しようと激昂します。,予見（Auspex）、迅速（Celerity）、威厳（Presence）の3つの訓えを標準で習得可能です。,オースペクス (予見・霊視),感覚の超自然的拡張、精神感応（テレパシー）、過去視、危険予知を司る知覚の訓え。不可視の霊や欺瞞を見破り、遠隔の情景を監視する。,3,感覚共有 (Share Senses),3-dot Mental Auspex,アクション (Action),社会: カリスマ (Charisma),1ヴィータイ (1 Vitae),対象の平静 (Target's Composure),視線が通る距離 (Line of sight),1シーン (One scene),他者の目や耳を借りて、相手が見聞きしている感覚を共有する。,対象（同意または強制）の感覚を一時的に借り受け、術者の肉体をトランス状態に保ちながら、対象の目を通して見、耳を通して聞く。,•••••: 対象の視線や行動を微細に遠隔誘導できるようになる。,"Borrow the senses of a willing or unwilling target, seeing through their eyes and hearing through their ears while keeping your body in trance.",•••••: Can subtly guide target's gaze and actions.
トレアドール,Toreador,美は永遠であり、それへの我らの渇望もまた永遠である。,前衛芸術家、ファッションデザイナー、スーパーモデル、画廊オーナー、ポップアイドル、辛口の美術批評家,「薔薇の氏族」として知られるトレアドールは、美こそが永遠の命を生きる唯一の価値であると信じています。芸術、情熱、歓喜、そして苦悶のすべてを極限まで感じ取ることによってのみ、不死者が陥る無感動の腐敗を防ぐことができると考えます。彼らは人間と吸血鬼の上流社交界の頂点に君臨し、流行を作り出し、一瞥で他者の評価を天国にも地獄にも落とす審美眼とカリスマを誇ります。,偶像 / 執念深き職人 (Obsessive Artisan): 美、完璧さ、圧倒的な感情の高まりに魅了されます。卓越した芸術を創造し、崇高な傑作や感情に触れ、人々からの熱狂的な称賛を浴びることで獣を満たします。,美への飢え (Starved for Beauty): 超自然的な美的感受性が極めて過敏です。殺風景、不潔、工業的、または美的優雅さに欠ける環境に置かれると血が衰弱し、全ダイスプールに［世代修正値］分のペナルティを受けます。,執着 (Obsession): 周囲にある美しい物体、人物、芸術的パフォーマンスに完全に心を奪われ固執します。周囲に美しいものが存在しない場合は、感性を害した下品で醜い要素を破壊しようと激昂します。,予見（Auspex）、迅速（Celerity）、威厳（Presence）の3つの訓えを標準で習得可能です。,セレリティ (迅速・疾駆),超人的な反射速度、瞬発力、時間感覚の加速を可能にする神速の訓え。目にも留まらぬ速度で移動し、攻撃を回避し、複数回の手番を行う。,1,猫の身のこなし (Cat's Grace),1-dot Physical Celerity,アクション (Action),肉体: 敏捷力 (Dexterity),なし (None),なし (None),術者自身 (Self),1ターン (One turn),驚異的な平衡感覚を得て、細い足場や不安定な瓦礫の上を疾走する。,超自然的なバランス感覚を発揮し、ワイヤーの上、狭い突起、崩れやすい足場の上を一切転落することなく高速で走り抜ける。,"•••: 短時間であれば垂直な壁面を駆け上がることができる。
•••••: 水面や液体の表面を沈まずに駆け抜けることができる。","Move with supernatural balance, running across wires, narrow ledges, or unstable debris without falling.","•••: Can run across vertical walls for short bursts.
•••••: Can run across liquids."
トレアドール,Toreador,美は永遠であり、それへの我らの渇望もまた永遠である。,前衛芸術家、ファッションデザイナー、スーパーモデル、画廊オーナー、ポップアイドル、辛口の美術批評家,「薔薇の氏族」として知られるトレアドールは、美こそが永遠の命を生きる唯一の価値であると信じています。芸術、情熱、歓喜、そして苦悶のすべてを極限まで感じ取ることによってのみ、不死者が陥る無感動の腐敗を防ぐことができると考えます。彼らは人間と吸血鬼の上流社交界の頂点に君臨し、流行を作り出し、一瞥で他者の評価を天国にも地獄にも落とす審美眼とカリスマを誇ります。,偶像 / 執念深き職人 (Obsessive Artisan): 美、完璧さ、圧倒的な感情の高まりに魅了されます。卓越した芸術を創造し、崇高な傑作や感情に触れ、人々からの熱狂的な称賛を浴びることで獣を満たします。,美への飢え (Starved for Beauty): 超自然的な美的感受性が極めて過敏です。殺風景、不潔、工業的、または美的優雅さに欠ける環境に置かれると血が衰弱し、全ダイスプールに［世代修正値］分のペナルティを受けます。,執着 (Obsession): 周囲にある美しい物体、人物、芸術的パフォーマンスに完全に心を奪われ固執します。周囲に美しいものが存在しない場合は、感性を害した下品で醜い要素を破壊しようと激昂します。,予見（Auspex）、迅速（Celerity）、威厳（Presence）の3つの訓えを標準で習得可能です。,セレリティ (迅速・疾駆),超人的な反射速度、瞬発力、時間感覚の加速を可能にする神速の訓え。目にも留まらぬ速度で移動し、攻撃を回避し、複数回の手番を行う。,1,敏捷なる反射 (Rapid Reflexes),1-dot Physical Celerity,リアクション (Reaction),肉体: 敏捷力 (Dexterity),1ヴィータイ (1 Vitae),なし (None),術者自身 (Self),1ターン (One turn),神速の反射神経で身を躱し、あらゆる攻撃の防御テストを強化する。,超人的な反射速度で迫り来る攻撃を回避する。あらゆる物理攻撃に対する自身の防御プールに［セレリティのドット数］を加える。,"•••: 遮蔽物のない状態でも銃弾を回避することができる。
•••••: 回避した銃弾や投擲物の弾道を逸らして別の方向へ弾くことができる。",Dodge incoming attacks with preternatural speed. Add dots in Celerity to your defense pools against physical attacks.,"•••: Can dodge bullets without cover.
•••••: Can redirect missed projectile attacks."
