氏族名,氏族英語名,標語,典型的な元人間像,氏族の詳細概要,内なる獣の衝動,氏族の呪い,狂乱の性質,取得可能な訓え一覧,訓え名,訓えの概要説明,ドット数,パワー名,系統・種別,発動タイプ,使用能力値,発動コスト,抵抗/難易度,射程/距離,持続時間,パワー概要,効果とルールの詳細 (日本語),成熟ルール (上位ドット時の強化),Rules_Description (英語原文),Maturing_Rules (英語原文)
ギャンレル,Gangrel,凶暴さこそが、真実と知恵への道である。,原野のサバイバリスト、密猟者、バイカー、放浪の遊牧民、野性のプレデター,ギャンレルは、真の自由とは抱擁によってもたらされた「狩人」であり「獣」である己の姿をそのまま受け入れることから生まれると説きます。内なる獣は血の侵入者ではなく、その最も純粋な表現であり、その野性を理解することこそが真の生存の道であると考えます。多くのギャンレルは都市の欺瞞や宮廷の政治を嫌って辺境や荒野を放浪し、都市に残る者もコンクリートのジャングルの中で孤高の頂点捕食者として縄張りを守ります。,野性的 (Embraced Beast): 文明の制約から解き放たれ、捕食者の本能に従って行動することを求めます。単独で狩りを行い、縄張りを主張・防衛し、野生の論理に従うことで獣を満たします。,受け入れられし獣 (Feral Feature): 狂乱するたびに獣の痕跡（牙、爪、毛皮、裂けた瞳など）が肉体に現れます。この特徴が消えるまでの間、人間として振る舞う判定や人間との社会的交渉の難易度が［世代修正値］分上昇します。,野性の衝動 (Feral Impulses): 理性の一切を失い、完全に動物の本能に支配されます。道具や言語、精神系・社会系の訓えの使用が不能となり、物理攻撃に［世代修正値］のボーナスを得る一方、防御判定に同値のペナルティを受けます。,動物使役（Animalism）、迅速（Celerity）、堅牢（Fortitude）の3つの訓えを標準で習得可能です。,アニマリズム (動物使役),獣との交信、統制、召喚、および肉体に獣の力を宿す野性の訓え。動物を意のままに操り、獣の鋭利な爪牙を肉体に具現化させる。,1,獣相の獲得 (Aspect of the Beast),1-dot Physical Animalism,アクション (Action),精神: 機知 (Wits),1ヴィータイ (1 Vitae),なし (None),術者自身 (Self),1シーン (One scene),獣の特徴（鼻、目、耳、脚、尾など）を獲得し、非戦闘テストに訓えドット数分のボーナスを得る。,狼の鼻、梟の目、蝙蝠の耳、蛙の脚、猫の尾などの獣の特徴を肉体に宿し、関連する非戦闘テストにおいて［アニマリズムのドット数］に等しいダイスボーナスを得る。,"•••: 同時に2つの獣の特徴を宿すことができる。
•••••: 同時に3つの獣の特徴を宿すことができる。","Assume an animal aspect (wolf's snout, owl's eyes, bat's ears, frog's legs, cat's tail) gaining bonus equal to dots in Animalism to relevant non-conflict tests.","•••: Assume 2 animal aspects at once.
•••••: Assume 3 animal aspects at once."
ギャンレル,Gangrel,凶暴さこそが、真実と知恵への道である。,原野のサバイバリスト、密猟者、バイカー、放浪の遊牧民、野性のプレデター,ギャンレルは、真の自由とは抱擁によってもたらされた「狩人」であり「獣」である己の姿をそのまま受け入れることから生まれると説きます。内なる獣は血の侵入者ではなく、その最も純粋な表現であり、その野性を理解することこそが真の生存の道であると考えます。多くのギャンレルは都市の欺瞞や宮廷の政治を嫌って辺境や荒野を放浪し、都市に残る者もコンクリートのジャングルの中で孤高の頂点捕食者として縄張りを守ります。,野性的 (Embraced Beast): 文明の制約から解き放たれ、捕食者の本能に従って行動することを求めます。単独で狩りを行い、縄張りを主張・防衛し、野生の論理に従うことで獣を満たします。,受け入れられし獣 (Feral Feature): 狂乱するたびに獣の痕跡（牙、爪、毛皮、裂けた瞳など）が肉体に現れます。この特徴が消えるまでの間、人間として振る舞う判定や人間との社会的交渉の難易度が［世代修正値］分上昇します。,野性の衝動 (Feral Impulses): 理性の一切を失い、完全に動物の本能に支配されます。道具や言語、精神系・社会系の訓えの使用が不能となり、物理攻撃に［世代修正値］のボーナスを得る一方、防御判定に同値のペナルティを受けます。,動物使役（Animalism）、迅速（Celerity）、堅牢（Fortitude）の3つの訓えを標準で習得可能です。,アニマリズム (動物使役),獣との交信、統制、召喚、および肉体に獣の力を宿す野性の訓え。動物を意のままに操り、獣の鋭利な爪牙を肉体に具現化させる。,1,野性の直感 (Bestial Instinct),1-dot Mental Animalism,アクション (Action),精神: 機知 (Wits),意志力1点 (1 Willpower),なし (None),術者自身 (Self),1シーン (One scene),短距離内にある吸血鬼や超自然の気配を直感的に感知する。,野性の感覚を研ぎ澄まし、短距離内にある他の吸血鬼や超自然的存在の気配を本能的に探知する。超自然を感知するための〈覚知〉および〈調査〉テストに［アニマリズムのドット数］を加える。,なし,Hone senses to instinctively detect other vampires and supernatural beings within Short distance. Add dots in Animalism to Awareness and Investigation tests to detect the supernatural.,None
ギャンレル,Gangrel,凶暴さこそが、真実と知恵への道である。,原野のサバイバリスト、密猟者、バイカー、放浪の遊牧民、野性のプレデター,ギャンレルは、真の自由とは抱擁によってもたらされた「狩人」であり「獣」である己の姿をそのまま受け入れることから生まれると説きます。内なる獣は血の侵入者ではなく、その最も純粋な表現であり、その野性を理解することこそが真の生存の道であると考えます。多くのギャンレルは都市の欺瞞や宮廷の政治を嫌って辺境や荒野を放浪し、都市に残る者もコンクリートのジャングルの中で孤高の頂点捕食者として縄張りを守ります。,野性的 (Embraced Beast): 文明の制約から解き放たれ、捕食者の本能に従って行動することを求めます。単独で狩りを行い、縄張りを主張・防衛し、野生の論理に従うことで獣を満たします。,受け入れられし獣 (Feral Feature): 狂乱するたびに獣の痕跡（牙、爪、毛皮、裂けた瞳など）が肉体に現れます。この特徴が消えるまでの間、人間として振る舞う判定や人間との社会的交渉の難易度が［世代修正値］分上昇します。,野性の衝動 (Feral Impulses): 理性の一切を失い、完全に動物の本能に支配されます。道具や言語、精神系・社会系の訓えの使用が不能となり、物理攻撃に［世代修正値］のボーナスを得る一方、防御判定に同値のペナルティを受けます。,動物使役（Animalism）、迅速（Celerity）、堅牢（Fortitude）の3つの訓えを標準で習得可能です。,アニマリズム (動物使役),獣との交信、統制、召喚、および肉体に獣の力を宿す野性の訓え。動物を意のままに操り、獣の鋭利な爪牙を肉体に具現化させる。,1,甘き囁き (Sweet Whispers),1-dot Social Animalism,アクション (Action),社会: カリスマ (Charisma),なし (None),対象の平静 (Target's Composure),近距離 (Near),1シーン (One scene),動物と心を通わせ、簡単な命令や任務を実行させる。,動物と意思疎通を行い、簡単な命令を下して従わせる。対象の動物は術者を同盟者または群れのリーダー（アルファ）として認識する。,"•••: 同時に最大3匹の動物に命令を下すことができる。
•••••: 動物の群れやスウォーム全体に命令を下すことができる。",Communicate with and command an animal to perform a simple task. The animal views you as an ally or alpha.,"•••: Compel up to 3 animals at once.
•••••: Compel a pack or swarm."
ギャンレル,Gangrel,凶暴さこそが、真実と知恵への道である。,原野のサバイバリスト、密猟者、バイカー、放浪の遊牧民、野性のプレデター,ギャンレルは、真の自由とは抱擁によってもたらされた「狩人」であり「獣」である己の姿をそのまま受け入れることから生まれると説きます。内なる獣は血の侵入者ではなく、その最も純粋な表現であり、その野性を理解することこそが真の生存の道であると考えます。多くのギャンレルは都市の欺瞞や宮廷の政治を嫌って辺境や荒野を放浪し、都市に残る者もコンクリートのジャングルの中で孤高の頂点捕食者として縄張りを守ります。,野性的 (Embraced Beast): 文明の制約から解き放たれ、捕食者の本能に従って行動することを求めます。単独で狩りを行い、縄張りを主張・防衛し、野生の論理に従うことで獣を満たします。,受け入れられし獣 (Feral Feature): 狂乱するたびに獣の痕跡（牙、爪、毛皮、裂けた瞳など）が肉体に現れます。この特徴が消えるまでの間、人間として振る舞う判定や人間との社会的交渉の難易度が［世代修正値］分上昇します。,野性の衝動 (Feral Impulses): 理性の一切を失い、完全に動物の本能に支配されます。道具や言語、精神系・社会系の訓えの使用が不能となり、物理攻撃に［世代修正値］のボーナスを得る一方、防御判定に同値のペナルティを受けます。,動物使役（Animalism）、迅速（Celerity）、堅牢（Fortitude）の3つの訓えを標準で習得可能です。,アニマリズム (動物使役),獣との交信、統制、召喚、および肉体に獣の力を宿す野性の訓え。動物を意のままに操り、獣の鋭利な爪牙を肉体に具現化させる。,2,動物の伝令 (Animal Messenger),2-dot Social Animalism,アクション (Action),社会: 操作力 (Manipulation),1ヴィータイ (1 Vitae),なし (None),近距離 (Near),伝令完了まで (Until delivered),動物にメッセージを託し、指定した相手へ届けさせる。,動物に口頭のメッセージまたは精神的イメージを吹き込み、都市内の指定された受取人のもとへと届けるよう送り出す。,"•••: 都市間や広大な荒野を越えてメッセージを届けることができる。
•••••: メッセージ到達時に動物の視覚を通じて周囲の状況を確認できる。",Imbue an animal with a spoken message or mental image and send it to a designated recipient within the city.,"•••: The animal can travel across cities or wilderness.
•••••: You can view through the animal's eyes upon delivery."
ギャンレル,Gangrel,凶暴さこそが、真実と知恵への道である。,原野のサバイバリスト、密猟者、バイカー、放浪の遊牧民、野性のプレデター,ギャンレルは、真の自由とは抱擁によってもたらされた「狩人」であり「獣」である己の姿をそのまま受け入れることから生まれると説きます。内なる獣は血の侵入者ではなく、その最も純粋な表現であり、その野性を理解することこそが真の生存の道であると考えます。多くのギャンレルは都市の欺瞞や宮廷の政治を嫌って辺境や荒野を放浪し、都市に残る者もコンクリートのジャングルの中で孤高の頂点捕食者として縄張りを守ります。,野性的 (Embraced Beast): 文明の制約から解き放たれ、捕食者の本能に従って行動することを求めます。単独で狩りを行い、縄張りを主張・防衛し、野生の論理に従うことで獣を満たします。,受け入れられし獣 (Feral Feature): 狂乱するたびに獣の痕跡（牙、爪、毛皮、裂けた瞳など）が肉体に現れます。この特徴が消えるまでの間、人間として振る舞う判定や人間との社会的交渉の難易度が［世代修正値］分上昇します。,野性の衝動 (Feral Impulses): 理性の一切を失い、完全に動物の本能に支配されます。道具や言語、精神系・社会系の訓えの使用が不能となり、物理攻撃に［世代修正値］のボーナスを得る一方、防御判定に同値のペナルティを受けます。,動物使役（Animalism）、迅速（Celerity）、堅牢（Fortitude）の3つの訓えを標準で習得可能です。,アニマリズム (動物使役),獣との交信、統制、召喚、および肉体に獣の力を宿す野性の訓え。動物を意のままに操り、獣の鋭利な爪牙を肉体に具現化させる。,2,野性の呼び声 (Call of the Wild),2-dot Social Animalism,アクション (Action),社会: カリスマ (Charisma),1ヴィータイ (1 Vitae),なし (None),中距離 (Medium),1シーン (One scene),特定の種類の動物を咆哮で呼び集める。,超自然的な遠吠えや呼び声を放ち、付近にいる特定の種族の動物（犬、ネズミ、鳥など）を術者の居場所へと一斉に集結させる。,"•••: 通常の半分の時間で動物たちが集結する。
•••••: 都市の1つの区画（ディストリクト）全体の動物を呼び集める。","Let out a supernatural howl or call that summons all nearby animals of a specific species (dogs, rats, birds) to your location.","•••: Animals arrive in half the time.
•••••: Summons all animals within an entire city district."
ギャンレル,Gangrel,凶暴さこそが、真実と知恵への道である。,原野のサバイバリスト、密猟者、バイカー、放浪の遊牧民、野性のプレデター,ギャンレルは、真の自由とは抱擁によってもたらされた「狩人」であり「獣」である己の姿をそのまま受け入れることから生まれると説きます。内なる獣は血の侵入者ではなく、その最も純粋な表現であり、その野性を理解することこそが真の生存の道であると考えます。多くのギャンレルは都市の欺瞞や宮廷の政治を嫌って辺境や荒野を放浪し、都市に残る者もコンクリートのジャングルの中で孤高の頂点捕食者として縄張りを守ります。,野性的 (Embraced Beast): 文明の制約から解き放たれ、捕食者の本能に従って行動することを求めます。単独で狩りを行い、縄張りを主張・防衛し、野生の論理に従うことで獣を満たします。,受け入れられし獣 (Feral Feature): 狂乱するたびに獣の痕跡（牙、爪、毛皮、裂けた瞳など）が肉体に現れます。この特徴が消えるまでの間、人間として振る舞う判定や人間との社会的交渉の難易度が［世代修正値］分上昇します。,野性の衝動 (Feral Impulses): 理性の一切を失い、完全に動物の本能に支配されます。道具や言語、精神系・社会系の訓えの使用が不能となり、物理攻撃に［世代修正値］のボーナスを得る一方、防御判定に同値のペナルティを受けます。,動物使役（Animalism）、迅速（Celerity）、堅牢（Fortitude）の3つの訓えを標準で習得可能です。,アニマリズム (動物使役),獣との交信、統制、召喚、および肉体に獣の力を宿す野性の訓え。動物を意のままに操り、獣の鋭利な爪牙を肉体に具現化させる。,2,野性の爪 (Feral Claws),2-dot Physical Animalism,アクション (Action),肉体: 筋力 (Strength),1ヴィータイ (1 Vitae),なし (None),術者自身 (Self),1シーン (One scene),爪や牙を鋭利に伸ばし、素手攻撃で破滅的ダメージを与える。,手足の爪や牙が鋭利かつ凶悪な獣の鉤爪へと伸長する。素手による〈格闘〉攻撃が、人間および吸血鬼に対して破滅的（Aggravated）ダメージを与えるようになる。,"•••: 爪攻撃に装甲貫通（アーマーピアッシング）特性が付与される。
•••••: 爪攻撃を受けた傷口に出血が継続する追加効果が付与される。","Your nails or fangs lengthen into vicious, razor-sharp claws. Your unarmed brawl attacks deal Aggravated damage to mortals and Kindred.","•••: Claws gain armor-piercing quality.
•••••: Claws cause lingering bleed damage."
ギャンレル,Gangrel,凶暴さこそが、真実と知恵への道である。,原野のサバイバリスト、密猟者、バイカー、放浪の遊牧民、野性のプレデター,ギャンレルは、真の自由とは抱擁によってもたらされた「狩人」であり「獣」である己の姿をそのまま受け入れることから生まれると説きます。内なる獣は血の侵入者ではなく、その最も純粋な表現であり、その野性を理解することこそが真の生存の道であると考えます。多くのギャンレルは都市の欺瞞や宮廷の政治を嫌って辺境や荒野を放浪し、都市に残る者もコンクリートのジャングルの中で孤高の頂点捕食者として縄張りを守ります。,野性的 (Embraced Beast): 文明の制約から解き放たれ、捕食者の本能に従って行動することを求めます。単独で狩りを行い、縄張りを主張・防衛し、野生の論理に従うことで獣を満たします。,受け入れられし獣 (Feral Feature): 狂乱するたびに獣の痕跡（牙、爪、毛皮、裂けた瞳など）が肉体に現れます。この特徴が消えるまでの間、人間として振る舞う判定や人間との社会的交渉の難易度が［世代修正値］分上昇します。,野性の衝動 (Feral Impulses): 理性の一切を失い、完全に動物の本能に支配されます。道具や言語、精神系・社会系の訓えの使用が不能となり、物理攻撃に［世代修正値］のボーナスを得る一方、防御判定に同値のペナルティを受けます。,動物使役（Animalism）、迅速（Celerity）、堅牢（Fortitude）の3つの訓えを標準で習得可能です。,アニマリズム (動物使役),獣との交信、統制、召喚、および肉体に獣の力を宿す野性の訓え。動物を意のままに操り、獣の鋭利な爪牙を肉体に具現化させる。,3,獣化 (Beast Shape),3-dot Physical Animalism,アクション (Action),肉体: 持久力 (Stamina),2ヴィータイ (2 Vitae),なし (None),術者自身 (Self),1シーン (One scene),肉体を自身と同等質量の動物へと完全に変身させる。,自身の肉体を、質量が同等程度の動物（狼、大型犬、ピューマ、大フクロウなど）へと完全に変化させる。その動物の身体的特徴や感覚を獲得する。,•••••: 小型動物（コウモリ、ネズミ）や大型の猛獣（熊など）にも変身可能となる。,"Transform your body completely into an animal roughly equivalent in mass (wolf, large dog, panther, great owl). Gain animal's physical traits.","•••••: Can transform into small animals (bat, rat) or huge beasts (bear)."
ギャンレル,Gangrel,凶暴さこそが、真実と知恵への道である。,原野のサバイバリスト、密猟者、バイカー、放浪の遊牧民、野性のプレデター,ギャンレルは、真の自由とは抱擁によってもたらされた「狩人」であり「獣」である己の姿をそのまま受け入れることから生まれると説きます。内なる獣は血の侵入者ではなく、その最も純粋な表現であり、その野性を理解することこそが真の生存の道であると考えます。多くのギャンレルは都市の欺瞞や宮廷の政治を嫌って辺境や荒野を放浪し、都市に残る者もコンクリートのジャングルの中で孤高の頂点捕食者として縄張りを守ります。,野性的 (Embraced Beast): 文明の制約から解き放たれ、捕食者の本能に従って行動することを求めます。単独で狩りを行い、縄張りを主張・防衛し、野生の論理に従うことで獣を満たします。,受け入れられし獣 (Feral Feature): 狂乱するたびに獣の痕跡（牙、爪、毛皮、裂けた瞳など）が肉体に現れます。この特徴が消えるまでの間、人間として振る舞う判定や人間との社会的交渉の難易度が［世代修正値］分上昇します。,野性の衝動 (Feral Impulses): 理性の一切を失い、完全に動物の本能に支配されます。道具や言語、精神系・社会系の訓えの使用が不能となり、物理攻撃に［世代修正値］のボーナスを得る一方、防御判定に同値のペナルティを受けます。,動物使役（Animalism）、迅速（Celerity）、堅牢（Fortitude）の3つの訓えを標準で習得可能です。,アニマリズム (動物使役),獣との交信、統制、召喚、および肉体に獣の力を宿す野性の訓え。動物を意のままに操り、獣の鋭利な爪牙を肉体に具現化させる。,3,獣の大群 (Plague of Beasts),3-dot Social Animalism,アクション (Action),社会: 操作力 (Manipulation),1ヴィータイ (1 Vitae),対象の平静 (Target's Composure),中距離 (Medium),1シーン (One scene),小動物の大群を指揮し、標的を執拗に襲撃・妨害させる。,ネズミ、昆虫、ハトなどの小動物の群れを操り、指定した対象に執拗に群がらせ、視界を塞ぎ、噛みつかせ、行動に厳しいダイスペナルティを課す。,•••••: 群れが毎ターン対象に致死ダメージを与えるようになる。,"Command swarms of small beasts (rats, insects, pigeons) to relentlessly harass, blind, and bite a designated target, imposing severe dice penalties.",•••••: Swarm deals lethal damage each turn.
ギャンレル,Gangrel,凶暴さこそが、真実と知恵への道である。,原野のサバイバリスト、密猟者、バイカー、放浪の遊牧民、野性のプレデター,ギャンレルは、真の自由とは抱擁によってもたらされた「狩人」であり「獣」である己の姿をそのまま受け入れることから生まれると説きます。内なる獣は血の侵入者ではなく、その最も純粋な表現であり、その野性を理解することこそが真の生存の道であると考えます。多くのギャンレルは都市の欺瞞や宮廷の政治を嫌って辺境や荒野を放浪し、都市に残る者もコンクリートのジャングルの中で孤高の頂点捕食者として縄張りを守ります。,野性的 (Embraced Beast): 文明の制約から解き放たれ、捕食者の本能に従って行動することを求めます。単独で狩りを行い、縄張りを主張・防衛し、野生の論理に従うことで獣を満たします。,受け入れられし獣 (Feral Feature): 狂乱するたびに獣の痕跡（牙、爪、毛皮、裂けた瞳など）が肉体に現れます。この特徴が消えるまでの間、人間として振る舞う判定や人間との社会的交渉の難易度が［世代修正値］分上昇します。,野性の衝動 (Feral Impulses): 理性の一切を失い、完全に動物の本能に支配されます。道具や言語、精神系・社会系の訓えの使用が不能となり、物理攻撃に［世代修正値］のボーナスを得る一方、防御判定に同値のペナルティを受けます。,動物使役（Animalism）、迅速（Celerity）、堅牢（Fortitude）の3つの訓えを標準で習得可能です。,セレリティ (迅速・疾駆),超人的な反射速度、瞬発力、時間感覚の加速を可能にする神速の訓え。目にも留まらぬ速度で移動し、攻撃を回避し、複数回の手番を行う。,1,猫の身のこなし (Cat's Grace),1-dot Physical Celerity,アクション (Action),肉体: 敏捷力 (Dexterity),なし (None),なし (None),術者自身 (Self),1ターン (One turn),驚異的な平衡感覚を得て、細い足場や不安定な瓦礫の上を疾走する。,超自然的なバランス感覚を発揮し、ワイヤーの上、狭い突起、崩れやすい足場の上を一切転落することなく高速で走り抜ける。,"•••: 短時間であれば垂直な壁面を駆け上がることができる。
•••••: 水面や液体の表面を沈まずに駆け抜けることができる。","Move with supernatural balance, running across wires, narrow ledges, or unstable debris without falling.","•••: Can run across vertical walls for short bursts.
•••••: Can run across liquids."
ギャンレル,Gangrel,凶暴さこそが、真実と知恵への道である。,原野のサバイバリスト、密猟者、バイカー、放浪の遊牧民、野性のプレデター,ギャンレルは、真の自由とは抱擁によってもたらされた「狩人」であり「獣」である己の姿をそのまま受け入れることから生まれると説きます。内なる獣は血の侵入者ではなく、その最も純粋な表現であり、その野性を理解することこそが真の生存の道であると考えます。多くのギャンレルは都市の欺瞞や宮廷の政治を嫌って辺境や荒野を放浪し、都市に残る者もコンクリートのジャングルの中で孤高の頂点捕食者として縄張りを守ります。,野性的 (Embraced Beast): 文明の制約から解き放たれ、捕食者の本能に従って行動することを求めます。単独で狩りを行い、縄張りを主張・防衛し、野生の論理に従うことで獣を満たします。,受け入れられし獣 (Feral Feature): 狂乱するたびに獣の痕跡（牙、爪、毛皮、裂けた瞳など）が肉体に現れます。この特徴が消えるまでの間、人間として振る舞う判定や人間との社会的交渉の難易度が［世代修正値］分上昇します。,野性の衝動 (Feral Impulses): 理性の一切を失い、完全に動物の本能に支配されます。道具や言語、精神系・社会系の訓えの使用が不能となり、物理攻撃に［世代修正値］のボーナスを得る一方、防御判定に同値のペナルティを受けます。,動物使役（Animalism）、迅速（Celerity）、堅牢（Fortitude）の3つの訓えを標準で習得可能です。,セレリティ (迅速・疾駆),超人的な反射速度、瞬発力、時間感覚の加速を可能にする神速の訓え。目にも留まらぬ速度で移動し、攻撃を回避し、複数回の手番を行う。,1,敏捷なる反射 (Rapid Reflexes),1-dot Physical Celerity,リアクション (Reaction),肉体: 敏捷力 (Dexterity),1ヴィータイ (1 Vitae),なし (None),術者自身 (Self),1ターン (One turn),神速の反射神経で身を躱し、あらゆる攻撃の防御テストを強化する。,超人的な反射速度で迫り来る攻撃を回避する。あらゆる物理攻撃に対する自身の防御プールに［セレリティのドット数］を加える。,"•••: 遮蔽物のない状態でも銃弾を回避することができる。
•••••: 回避した銃弾や投擲物の弾道を逸らして別の方向へ弾くことができる。",Dodge incoming attacks with preternatural speed. Add dots in Celerity to your defense pools against physical attacks.,"•••: Can dodge bullets without cover.
•••••: Can redirect missed projectile attacks."
